_id,name,value,factorTypeId,createdAt
23wCS9JSrBKELJBsD,true,true,yaKsaf9dZ4PFdoMmq,2023-03-03T20:10:34Z
ccpEpPPCTN8xJhRgi,false,false,yaKsaf9dZ4PFdoMmq,2023-03-03T20:10:34Z
e7aSmMi2BRxXS9naF,true,true,grQBWBiMrGHmC7gt3,2023-03-03T20:10:34Z
GCk83zJJ9SsLakTQG,false,false,grQBWBiMrGHmC7gt3,2023-03-03T20:10:34Z
iRu5nmzdbuJNu7mW9,true,true,eqaQyjMTgG4i2CbyM,2023-03-03T20:10:34Z
aEWrK93bLKNXpzbSz,false,false,eqaQyjMTgG4i2CbyM,2023-03-03T20:10:34Z
DFLDagwuiRWq99rH5,true,true,7MD9A7yvE3rw2QRwH,2023-03-03T20:10:34Z
jrfSAxpLRYyTjduAB,false,false,7MD9A7yvE3rw2QRwH,2023-03-03T20:10:34Z
gDhJRJYEW93Xs4hZg,true,true,ivqhL4H96THc5aNuM,2023-03-03T20:10:34Z
H9FfTCpf4SxescJAG,false,false,ivqhL4H96THc5aNuM,2023-03-03T20:10:34Z
9MhhFnPnRER9D4KKW,true,true,LYKHiLhoi6kuC6obL,2023-03-03T20:10:34Z
n2ypHxesCBXhT6ixQ,false,false,LYKHiLhoi6kuC6obL,2023-03-03T20:10:34Z
jXr5ZLctJgsTbsi9B,single,1,SQ8YwZgE7o9HXfLwz,2023-03-03T20:10:34Z
XBAtfweTe8eHAdhPA,double,2,SQ8YwZgE7o9HXfLwz,2023-03-03T20:10:34Z
22zXf9tr6X2bFR954,triple,3,SQ8YwZgE7o9HXfLwz,2023-03-03T20:10:34Z
vhi8DcLi6JC3Z4AmT,six,6,SQ8YwZgE7o9HXfLwz,2023-03-03T20:10:34Z
xDu7NN2vB5YaZhAHH,ten,10,SQ8YwZgE7o9HXfLwz,2023-03-03T20:10:34Z
6ZjfKLF6SbbdjEkTq,one_min,60,nckkeNMafK6L7Nzzn,2023-03-03T20:10:34Z
pJmctQkDCvnSBK3Wj,five_mins,300,nckkeNMafK6L7Nzzn,2023-03-03T20:10:34Z
78NBWmXNk3oM2wDiz,two_mins,120,MCgCiD7rDeJGXNa6c,2023-03-03T20:10:34Z
RSDZmCux7CeKbQozZ,two_mins,120,HMKzxgogMMFEY4pAk,2023-03-03T20:10:34Z
TBLxkCXgAteXXjLJY,complete,-1,DxxDhAhotmTRRWvTz,2023-03-03T20:10:34Z
nHj5rCAu3RJ9e3Amc,all,-1,jgdC24YxBmBWbMiMu,2023-03-03T20:10:34Z
DNaLQEzNDQGHeNvHQ,one,1,koZQJNPGxwtTgX2pH,2023-03-03T20:10:34Z
LbnKEh9ieYuomWm3y,five,5,koZQJNPGxwtTgX2pH,2023-03-03T20:10:34Z
XXm6mXiWNygse3Lnc,one,1,mKiToMczzZeN6v3aX,2023-03-03T20:10:34Z
QzFuHjANT97WR4mu2,five,5,mKiToMczzZeN6v3aX,2023-03-03T20:10:34Z
kkwnGehrvryPZx4xQ,seed1,43,aesa2wTqiAj6huZWu,2023-03-03T20:10:34Z
c9jqarLHSebt6WPRg,two,2,zwpS9wCpHhWNN3Wa3,2023-03-03T20:10:34Z
XKfcqFw8WaWqPfkXk,zero,0,yngbqpmJJjKTRcZQM,2023-03-03T20:10:34Z
bkngxLeS3t5Sy9SMi,one,1,yngbqpmJJjKTRcZQM,2023-03-03T20:10:34Z
42kqsXhQdCdZAHfAT,1,1,aesa2wTqiAj6huZWu,2023-04-07T14:58:01Z
LVTSHG3jHqt8YXp,2,2,aesa2wTqiAj6huZWu,2023-04-07T17:18:39Z
FvSS2HeHq9ZQcFM,3,3,aesa2wTqiAj6huZWu,2023-04-07T17:18:39Z
