_id,batchId,playerId,roundId,gameId,createdAt,data.team
LZXvzhJLApyz33iF7,rH9cuhZMSDCx2RAuT,RED5Y4Evdzkrdgn8u,cSjYjWDSnQW8DJM7j,SJwR7oQW5xMEtR9Du,2023-04-07T19:05:27Z,
bWqN2ikHPWtSmedgo,rH9cuhZMSDCx2RAuT,RPq53bLjtKvSWvtvw,cSjYjWDSnQW8DJM7j,SJwR7oQW5xMEtR9Du,2023-04-07T19:05:27Z,
s4jdcBe24EosNy6io,rH9cuhZMSDCx2RAuT,tyqrMhnokSh3rGJGX,cSjYjWDSnQW8DJM7j,SJwR7oQW5xMEtR9Du,2023-04-07T19:05:27Z,
9rXtBR5veGEsu4j9q,rH9cuhZMSDCx2RAuT,RED5Y4Evdzkrdgn8u,ryFAPzperRr5xhcTm,SJwR7oQW5xMEtR9Du,2023-04-07T19:05:27Z,
oSMtSFEJw9vbu4ous,rH9cuhZMSDCx2RAuT,RPq53bLjtKvSWvtvw,ryFAPzperRr5xhcTm,SJwR7oQW5xMEtR9Du,2023-04-07T19:05:27Z,
Z23tB49cAYWWej977,rH9cuhZMSDCx2RAuT,tyqrMhnokSh3rGJGX,ryFAPzperRr5xhcTm,SJwR7oQW5xMEtR9Du,2023-04-07T19:05:27Z,
r7e4dAnk2LiNQsbtF,rH9cuhZMSDCx2RAuT,RED5Y4Evdzkrdgn8u,FQmTb4z5TXhot93m7,SJwR7oQW5xMEtR9Du,2023-04-07T19:05:27Z,
dee4PjbpPmZZGMobL,rH9cuhZMSDCx2RAuT,RPq53bLjtKvSWvtvw,FQmTb4z5TXhot93m7,SJwR7oQW5xMEtR9Du,2023-04-07T19:05:27Z,
JpZ4opbSz3H65dwso,rH9cuhZMSDCx2RAuT,tyqrMhnokSh3rGJGX,FQmTb4z5TXhot93m7,SJwR7oQW5xMEtR9Du,2023-04-07T19:05:27Z,
qxbQezpaHBeTGpsoe,rH9cuhZMSDCx2RAuT,RED5Y4Evdzkrdgn8u,sCiEj5rsthZPkS5Hv,SJwR7oQW5xMEtR9Du,2023-04-07T19:05:27Z,
RWkncoFohGEPprsn5,rH9cuhZMSDCx2RAuT,RPq53bLjtKvSWvtvw,sCiEj5rsthZPkS5Hv,SJwR7oQW5xMEtR9Du,2023-04-07T19:05:27Z,
hk_8a95b84e1f85bea1,rH9cuhZMSDCx2RAuT,tyqrMhnokSh3rGJGX,sCiEj5rsthZPkS5Hv,SJwR7oQW5xMEtR9Du,2023-04-07T19:05:27Z,
cwQJsp6eYbNkvBbMF,rH9cuhZMSDCx2RAuT,RED5Y4Evdzkrdgn8u,Z28GttmyepBZbY5J8,SJwR7oQW5xMEtR9Du,2023-04-07T19:05:27Z,
XR2nfn7ZK5rKFfSoz,rH9cuhZMSDCx2RAuT,RPq53bLjtKvSWvtvw,Z28GttmyepBZbY5J8,SJwR7oQW5xMEtR9Du,2023-04-07T19:05:27Z,
sdJ86BpD4DzuKnQKv,rH9cuhZMSDCx2RAuT,tyqrMhnokSh3rGJGX,Z28GttmyepBZbY5J8,SJwR7oQW5xMEtR9Du,2023-04-07T19:05:27Z,
hsTScdxmz48oG3Hod,rH9cuhZMSDCx2RAuT,5QorgkSveoKisESYr,BhRrbKYfuDZpXFEN4,DpLvkHwzw3HsB4y4t,2023-04-07T19:13:45Z,
cog8Ei3G7AEJFiMmv,rH9cuhZMSDCx2RAuT,B5KREbDok7BYWsH7y,BhRrbKYfuDZpXFEN4,DpLvkHwzw3HsB4y4t,2023-04-07T19:13:45Z,
MPQ2FWt87vjZ43CHB,rH9cuhZMSDCx2RAuT,bxdqRDDkN9XRReKDy,BhRrbKYfuDZpXFEN4,DpLvkHwzw3HsB4y4t,2023-04-07T19:13:45Z,
xNen8eoMRXvthqGy9,rH9cuhZMSDCx2RAuT,dKLhCriJXxen3ZTgJ,BhRrbKYfuDZpXFEN4,DpLvkHwzw3HsB4y4t,2023-04-07T19:13:45Z,
BuWXaSXaWERhacd99,rH9cuhZMSDCx2RAuT,ghoBaAKPWkbB75CsA,BhRrbKYfuDZpXFEN4,DpLvkHwzw3HsB4y4t,2023-04-07T19:13:45Z,
MWcNiPPKh3ggcjs2C,rH9cuhZMSDCx2RAuT,uutZHn2vMS9Ao48ps,BhRrbKYfuDZpXFEN4,DpLvkHwzw3HsB4y4t,2023-04-07T19:13:45Z,
T2sStFQpHBt4qLn9y,rH9cuhZMSDCx2RAuT,5QorgkSveoKisESYr,fiLcTa7JRoNT8anpA,DpLvkHwzw3HsB4y4t,2023-04-07T19:13:45Z,
dxMmv4r75DB6PN3AA,rH9cuhZMSDCx2RAuT,B5KREbDok7BYWsH7y,fiLcTa7JRoNT8anpA,DpLvkHwzw3HsB4y4t,2023-04-07T19:13:45Z,
FGeCZDxzgE3PWpK8m,rH9cuhZMSDCx2RAuT,bxdqRDDkN9XRReKDy,fiLcTa7JRoNT8anpA,DpLvkHwzw3HsB4y4t,2023-04-07T19:13:45Z,
axStj5mTCMKhCDZp5,rH9cuhZMSDCx2RAuT,dKLhCriJXxen3ZTgJ,fiLcTa7JRoNT8anpA,DpLvkHwzw3HsB4y4t,2023-04-07T19:13:45Z,
4vYEjnbjCdJFqQhBs,rH9cuhZMSDCx2RAuT,ghoBaAKPWkbB75CsA,fiLcTa7JRoNT8anpA,DpLvkHwzw3HsB4y4t,2023-04-07T19:13:45Z,
59KqPt4GbHgnQws6p,rH9cuhZMSDCx2RAuT,uutZHn2vMS9Ao48ps,fiLcTa7JRoNT8anpA,DpLvkHwzw3HsB4y4t,2023-04-07T19:13:45Z,
