_id,name,factorIds,createdAt,archivedAt
JGAuoqRXYsNtmJQTY,single,"jXr5ZLctJgsTbsi9B,pJmctQkDCvnSBK3Wj,78NBWmXNk3oM2wDiz,RSDZmCux7CeKbQozZ,TBLxkCXgAteXXjLJY,e7aSmMi2BRxXS9naF,23wCS9JSrBKELJBsD,iRu5nmzdbuJNu7mW9,nHj5rCAu3RJ9e3Amc,QzFuHjANT97WR4mu2,LbnKEh9ieYuomWm3y,DFLDagwuiRWq99rH5,H9FfTCpf4SxescJAG,9MhhFnPnRER9D4KKW",2023-03-03T20:10:35Z,2023-04-03T18:32:53Z
WDDmFJs6XmemL6TEf,double,"XBAtfweTe8eHAdhPA,pJmctQkDCvnSBK3Wj,78NBWmXNk3oM2wDiz,RSDZmCux7CeKbQozZ,TBLxkCXgAteXXjLJY,23wCS9JSrBKELJBsD,e7aSmMi2BRxXS9naF,iRu5nmzdbuJNu7mW9,nHj5rCAu3RJ9e3Amc,QzFuHjANT97WR4mu2,LbnKEh9ieYuomWm3y,DFLDagwuiRWq99rH5,H9FfTCpf4SxescJAG,9MhhFnPnRER9D4KKW",2023-03-03T20:10:35Z,2023-04-03T18:32:53Z
nme9yDDnXPfJvQmxA,triple,"22zXf9tr6X2bFR954,pJmctQkDCvnSBK3Wj,78NBWmXNk3oM2wDiz,RSDZmCux7CeKbQozZ,TBLxkCXgAteXXjLJY,23wCS9JSrBKELJBsD,e7aSmMi2BRxXS9naF,iRu5nmzdbuJNu7mW9,nHj5rCAu3RJ9e3Amc,QzFuHjANT97WR4mu2,LbnKEh9ieYuomWm3y,DFLDagwuiRWq99rH5,H9FfTCpf4SxescJAG,9MhhFnPnRER9D4KKW",2023-03-03T20:10:35Z,2023-04-03T18:32:54Z
x5FvKgRqKpCgKm7aZ,six,"vhi8DcLi6JC3Z4AmT,pJmctQkDCvnSBK3Wj,78NBWmXNk3oM2wDiz,RSDZmCux7CeKbQozZ,TBLxkCXgAteXXjLJY,23wCS9JSrBKELJBsD,e7aSmMi2BRxXS9naF,iRu5nmzdbuJNu7mW9,nHj5rCAu3RJ9e3Amc,QzFuHjANT97WR4mu2,LbnKEh9ieYuomWm3y,DFLDagwuiRWq99rH5,H9FfTCpf4SxescJAG,9MhhFnPnRER9D4KKW",2023-03-03T20:10:35Z,2023-04-03T18:32:55Z
gA2kB9N2TFs4Q5qsk,ten,"xDu7NN2vB5YaZhAHH,pJmctQkDCvnSBK3Wj,78NBWmXNk3oM2wDiz,RSDZmCux7CeKbQozZ,TBLxkCXgAteXXjLJY,23wCS9JSrBKELJBsD,e7aSmMi2BRxXS9naF,iRu5nmzdbuJNu7mW9,nHj5rCAu3RJ9e3Amc,QzFuHjANT97WR4mu2,LbnKEh9ieYuomWm3y,DFLDagwuiRWq99rH5,H9FfTCpf4SxescJAG,9MhhFnPnRER9D4KKW",2023-03-03T20:10:35Z,2023-04-03T18:32:55Z
3NY3nEcRoECnMtpMp,single-split0,"jXr5ZLctJgsTbsi9B,6ZjfKLF6SbbdjEkTq,78NBWmXNk3oM2wDiz,RSDZmCux7CeKbQozZ,TBLxkCXgAteXXjLJY,23wCS9JSrBKELJBsD,e7aSmMi2BRxXS9naF,iRu5nmzdbuJNu7mW9,nHj5rCAu3RJ9e3Amc,QzFuHjANT97WR4mu2,LbnKEh9ieYuomWm3y,DFLDagwuiRWq99rH5,H9FfTCpf4SxescJAG,9MhhFnPnRER9D4KKW,kkwnGehrvryPZx4xQ,c9jqarLHSebt6WPRg,XKfcqFw8WaWqPfkXk",2023-03-03T20:10:35Z,2023-04-07T14:57:16Z
hk_0abfa7e788505fa5,triple-split0,"22zXf9tr6X2bFR954,6ZjfKLF6SbbdjEkTq,78NBWmXNk3oM2wDiz,RSDZmCux7CeKbQozZ,TBLxkCXgAteXXjLJY,23wCS9JSrBKELJBsD,e7aSmMi2BRxXS9naF,iRu5nmzdbuJNu7mW9,nHj5rCAu3RJ9e3Amc,QzFuHjANT97WR4mu2,LbnKEh9ieYuomWm3y,DFLDagwuiRWq99rH5,H9FfTCpf4SxescJAG,9MhhFnPnRER9D4KKW,kkwnGehrvryPZx4xQ,c9jqarLHSebt6WPRg,XKfcqFw8WaWqPfkXk",2023-03-03T20:10:35Z,2023-04-07T14:57:16Z
uAdP2eoMrW9tpJFmi,six-split0,"vhi8DcLi6JC3Z4AmT,6ZjfKLF6SbbdjEkTq,78NBWmXNk3oM2wDiz,RSDZmCux7CeKbQozZ,TBLxkCXgAteXXjLJY,23wCS9JSrBKELJBsD,e7aSmMi2BRxXS9naF,iRu5nmzdbuJNu7mW9,nHj5rCAu3RJ9e3Amc,QzFuHjANT97WR4mu2,LbnKEh9ieYuomWm3y,DFLDagwuiRWq99rH5,H9FfTCpf4SxescJAG,9MhhFnPnRER9D4KKW,kkwnGehrvryPZx4xQ,c9jqarLHSebt6WPRg,XKfcqFw8WaWqPfkXk",2023-03-03T20:10:35Z,2023-04-07T14:57:16Z
cidpB5wLoqzndDQr2,single-split1,"jXr5ZLctJgsTbsi9B,6ZjfKLF6SbbdjEkTq,78NBWmXNk3oM2wDiz,RSDZmCux7CeKbQozZ,TBLxkCXgAteXXjLJY,23wCS9JSrBKELJBsD,e7aSmMi2BRxXS9naF,iRu5nmzdbuJNu7mW9,nHj5rCAu3RJ9e3Amc,QzFuHjANT97WR4mu2,LbnKEh9ieYuomWm3y,DFLDagwuiRWq99rH5,H9FfTCpf4SxescJAG,9MhhFnPnRER9D4KKW,kkwnGehrvryPZx4xQ,c9jqarLHSebt6WPRg,bkngxLeS3t5Sy9SMi",2023-03-03T20:10:35Z,2023-04-07T14:57:16Z
nz6dweFbQNihN6C3Q,triple-split1,"22zXf9tr6X2bFR954,6ZjfKLF6SbbdjEkTq,78NBWmXNk3oM2wDiz,RSDZmCux7CeKbQozZ,TBLxkCXgAteXXjLJY,23wCS9JSrBKELJBsD,iRu5nmzdbuJNu7mW9,e7aSmMi2BRxXS9naF,nHj5rCAu3RJ9e3Amc,QzFuHjANT97WR4mu2,LbnKEh9ieYuomWm3y,DFLDagwuiRWq99rH5,H9FfTCpf4SxescJAG,9MhhFnPnRER9D4KKW,kkwnGehrvryPZx4xQ,c9jqarLHSebt6WPRg,bkngxLeS3t5Sy9SMi",2023-03-03T20:10:35Z,2023-04-07T14:57:17Z
hk_48528ae545ceab15,six-split1,"vhi8DcLi6JC3Z4AmT,6ZjfKLF6SbbdjEkTq,78NBWmXNk3oM2wDiz,RSDZmCux7CeKbQozZ,TBLxkCXgAteXXjLJY,23wCS9JSrBKELJBsD,e7aSmMi2BRxXS9naF,iRu5nmzdbuJNu7mW9,nHj5rCAu3RJ9e3Amc,QzFuHjANT97WR4mu2,LbnKEh9ieYuomWm3y,DFLDagwuiRWq99rH5,H9FfTCpf4SxescJAG,9MhhFnPnRER9D4KKW,kkwnGehrvryPZx4xQ,c9jqarLHSebt6WPRg,bkngxLeS3t5Sy9SMi",2023-03-03T20:10:35Z,2023-04-07T14:57:17Z
