_id,index,availableCount,timeoutStartedAt,timedOutAt,queuedPlayerIds,playerIds,gameId,treatmentId,batchId,lobbyConfigId,createdAt
mFaJ4cj9rnFXjHDDt,0,6,2023-04-07T19:02:31Z,,"4nhJPquZEK9uG2us2,37em4hQQQKWZ8NE2g,fjrxJ7JduoALfjZbz,yTbbx8DXFNphkckRN,bHDiZTgxHmkmTWG5q,aFNfwobsGttkY3LJs,vTwnywuJnSfHLMkuN,fs9jn94QBmubiYMRE,jhY2JHvj3rkRsCpix","fjrxJ7JduoALfjZbz,aFNfwobsGttkY3LJs",,gRgRByHXe4YHw3fwt,rH9cuhZMSDCx2RAuT,HGRfQ5GRwDdjHrKjp,2023-04-07T17:33:45Z
SJwR7oQW5xMEtR9Du,1,3,2023-04-07T19:03:46Z,,"RPq53bLjtKvSWvtvw,tyqrMhnokSh3rGJGX,RED5Y4Evdzkrdgn8u","tyqrMhnokSh3rGJGX,RPq53bLjtKvSWvtvw,RED5Y4Evdzkrdgn8u",SJwR7oQW5xMEtR9Du,nvedA39BGs4TkPCFi,rH9cuhZMSDCx2RAuT,HGRfQ5GRwDdjHrKjp,2023-04-07T17:33:45Z
DpLvkHwzw3HsB4y4t,2,6,2023-04-07T19:02:47Z,,"dKLhCriJXxen3ZTgJ,B5KREbDok7BYWsH7y,5QorgkSveoKisESYr,uutZHn2vMS9Ao48ps,bxdqRDDkN9XRReKDy,ghoBaAKPWkbB75CsA","dKLhCriJXxen3ZTgJ,B5KREbDok7BYWsH7y,5QorgkSveoKisESYr,bxdqRDDkN9XRReKDy,uutZHn2vMS9Ao48ps,ghoBaAKPWkbB75CsA",DpLvkHwzw3HsB4y4t,fEeh5vjcueBCwdXZK,rH9cuhZMSDCx2RAuT,HGRfQ5GRwDdjHrKjp,2023-04-07T17:33:45Z
HYGQRZTjBRuo4KaLY,3,3,,,"vWBN3Yt9QzSCo4r5L,HpwfYTYqE58dePgGy,enYhhzpsyMPmnHk2o,XKjPBbbTaixKFaKcn",,,ZxCkYrDpaiyMhFDDY,rH9cuhZMSDCx2RAuT,HGRfQ5GRwDdjHrKjp,2023-04-07T17:33:45Z
4WZPCBpkhD2n4WkZo,4,1,,,PuivLQbWKsjRZZEGB,PuivLQbWKsjRZZEGB,4WZPCBpkhD2n4WkZo,9Bkbv9EgeCtTny7ef,rH9cuhZMSDCx2RAuT,HGRfQ5GRwDdjHrKjp,2023-04-07T17:33:45Z
g4kuKnigbWixaj6Zh,5,1,,,NPMht8vjzaTYMAfPc,NPMht8vjzaTYMAfPc,g4kuKnigbWixaj6Zh,7r9Kmbmvw2MS2uqdq,rH9cuhZMSDCx2RAuT,HGRfQ5GRwDdjHrKjp,2023-04-07T17:33:45Z
TSuyZ6KnCiAWaT5zh,0,6,,,,,,gRgRByHXe4YHw3fwt,vAso5fxwB2Xuwt2Lw,HGRfQ5GRwDdjHrKjp,2023-04-07T17:33:47Z
omANWjj5MXN7LayjZ,1,3,,,,,,nvedA39BGs4TkPCFi,vAso5fxwB2Xuwt2Lw,HGRfQ5GRwDdjHrKjp,2023-04-07T17:33:47Z
PPyAq5AWS3ZfJZwmr,2,6,,,,,,fEeh5vjcueBCwdXZK,vAso5fxwB2Xuwt2Lw,HGRfQ5GRwDdjHrKjp,2023-04-07T17:33:47Z
MNpJXBQ57MbyJ2fyb,3,1,,,,,,7r9Kmbmvw2MS2uqdq,vAso5fxwB2Xuwt2Lw,HGRfQ5GRwDdjHrKjp,2023-04-07T17:33:47Z
