stageId,score
nrSuchLDEzJ9Z4wLb,80
EnZ9E9EavHZ6WQC3J,90
HDpzhr3NBL6QGH6uM,90
qWJZshkumpSvgPsSK,50
dHb86k69nbsRxCyvE,90
bX7d2u6YNHBMQXCzp,90
daocNbWkhaBhcpmtC,80
CHCBZk5wryJxKQaj8,90
DT37RGC6TNbo2PKBD,70
ThpdtCXXE4akkbKvz,90
484rgz22y62Fnnb5z,80
eLLJqWzZDr2xhYydh,0
ktJGA9mdh86m6LfPh,70
495TH4ioJFh4BfDrG,90
22wFrSqgf8ESM8pNY,90
KKfTujDZDBhEZSeck,80
MwpZh9vwHeEDjhj78,70
M6pD8HZccFXNmL2to,70
Rmkma69dRoahYqiCt,90
dDemjwJJhM58vfoM6,90
zJDjNJaHWb8YZPNsi,70
3EfXMhHRte547D6ui,80
vYBdR5fpvdLHZqsPW,90
gvQzqcoBdtLHPyfsS,80
6XAtpDCwCCH7mhDYq,90
b7p72ywKFPKLKSpRJ,85
o4dDZmhmbsQ63eCXN,90
8mZfifKK3r8QSSbcH,90
yzMmLim2ovgMRpwbh,90
yf4TQFRsNLgcbHD5B,50
xhpzCjYawjsWvwRGX,50
KZfoSFk3ZXZx2oQoT,65
k5uSNBpuWSePuCR4j,70
SBG2ASJGTMKoGNt7Q,90
dxX46FixjZHPB6es5,85
m8pCbFe2HdyNxswQp,70
57Gydtzg9Aa7u7j7N,90
yoSKx2QXZ2u6HNZZC,85
7hKduS9xFASHpt97n,80
RBd8rEEzWz26cfvyB,90
6JvqJ62eoNQoQGbMu,85
tGgAaJujWeuaESyEr,90
7ubAN42ryeZBtK9hL,90
KDD7CzEQbW6ZMAY3Y,90
jzKPEmYBfEarMGnWX,90
frE2uQY6u25iaDikA,90
Zz6M9tnvtaLHK5NNq,80
58TdGFFSjxyeD5ooR,80
jCdofoWN92nzneJBY,70
MjXfeQLzd5MnCsJwF,80
kt6hSxEh9sqxWz5Gf,90
9WuQ6tvFQAYNLnhn8,90
KAm4uon9jJ9ugFQYX,70
oaaQDtcyMcqC2GeDQ,90
4S6AhqmaTGi5DtAaL,90
4BmaZveJkAhs4tvn5,90
XrC3GemiCsN2EPHpn,0
bA9LJEhLNq4T6TJup,90
rBBGC3tDLZCz4JFAP,80
ceie5rB2YpLG84aHJ,70
bK6ayQgR2BSshTdXG,0
jiD5kjopJNhx8S9Dn,80
HWHfb39gipGaK3y6D,90
5r36M7DSxhRRfnhnP,0
YiFiPtBCin7ptDhgH,70
vGowpSALPs4EdnpBL,80
MAs57bWKNJpH7idyu,80
pCyetbLcZ8v8dqnpW,90
979nvZyBMnRECumZi,90
GBxB7vgqSexz3qgaX,80
Po9FkYdCMCsQr6pnF,85
ep8ot9owDx5shoqhQ,90
FNKhFWT73BLN8gQFd,80
yE7RLWP5Zvpt9a5q9,90
NSoEaJpNipBYPz8DK,90
wKcQriBEdyJPyN5k3,70
QtTYfvuGp9t7SWhdh,90
96bSLh2T2gbbkfJRb,90
rh5dt6YpWDTGpfhMz,85
mH5dNSvhvzNj8XWB8,90
XuyGra8y3kAXiCGx4,90
7b5CFrJpCE8xQKENg,80
YHxm22cGRqJq4vKbQ,80
FDXXtcFRcMk5ukKB2,85
TomP6bK5JPFYr9uDz,70
Zur9fkTyhJqtAB545,70
LPEFxyM2ZZXC5ZyHY,90
kxaF85B2fLFp8D54h,90
tYk5fLKXP8v2RyYnE,70
iJcuY4RbqeLDvMEpu,90
5sdbXveerXKfRucQe,70
5brM7WF3cGXF5WiQ6,50
BNWYCdkGyC5FP8ytk,50
jd6M7bgstoKQaajyW,40
BLfkXmyB9W3nLbLb9,80
b7ZhAzNiyvMg6nFcK,90
X9eTJ8GeXP767geS9,50
cfYuB8EAnoruYTmaC,80
YQRCFs8tYn9yKFQoo,80
xKRERzWJ2bdBtSNHf,90
LcaqcLeEvMBrZhMd2,90
LMzjEBhjDKDbWL9BS,70
wTtnYPymbumNdGkqS,0
jKvQoGxqtb4JZ2q9o,0
8eDYCY8W9uCGCbg8K,0
MEiE8FAZ8rKZSZYbY,50
acTPJuwa2d3L6xQDZ,50
njXAPRZ5QY4MpWmQS,80
RRPXE5CigmkJZaTvd,50
BwMiBJnQLCwiZk4tn,80
THrSk37RXMP8ccKhz,50
6ofKzCKgeEvsAE52n,0
MesZeqL2CqA4L6erh,0
KfzenP6jLKamQqTiq,0
