,generate_plan_process,generate_ideas,correct_answer,conflict_cognitive,conflict_mixed_motive,external_adversary,external_standard,effort_mental_physical,total_weight
Type 1,0.5,0,0,0,-0.5,0,0,0,1
Type 2,0,0.333333333,0,0,-0.333333333,0,0,0.333333333,1
Type 3,0,0,0.5,0,0,0,0,0.5,1
Type 4,0,0,-0.333333333,0,0.333333333,0,0,0.333333333,1
Type 5,0,0,0,0.333333333,0.333333333,0,0,0.333333333,1
Type 6,0,0,0,0,1,0,0,0,1
Type 7,0,0,0,0,0.333333333,0.333333333,0,-0.333333333,1
Type 8,-0.25,0,0,0,0,-0.25,0.25,-0.25,1
