Task,Citation,Source [DOI if Possible]
9 Dot Problem,Maier 1930,https://doi.org/10.1037/h0073232
Abstract grid task,Adams et al. 2021,https://doi.org/10.1038/s41586-021-03380-y
Advertisement writing,Whiting et al. 2019,https://dl.acm.org/doi/pdf/10.1145/3359311
Aerospace Investment (Role-playing),Sanpietro 2019,https://www.pon.harvard.edu/daily/teaching-negotiation-daily/how-negotiation-games-can-help-you-develop-skills-to-resolve-business-and-commercial-disputes/
Allocating resources to programs,Whiting et al. 2019,https://dl.acm.org/doi/pdf/10.1145/3359311
Apache helicopter flight simulator (Longbow2),Marks et al. 2002,https://doi.org/10.1037/0021-9010.87.1.3
Architectural design task,Wooley et al. 2010,https://doi.org/10.1126/science.1193147
Arithmetic problem 1,Shaw 1963,https://collections.uakron.edu/digital/collection/p15960coll1/id/21257/
Arithmetic problem 2,Shaw 1963,https://collections.uakron.edu/digital/collection/p15960coll1/id/21257/
Battle of the sexes,Rabin 1993,https://www.jstor.org/stable/2117561
Best job candidate (hidden-profile),Schulz-Hardt et al. 2006,https://doi.org/10.1037/0022-3514.91.6.1080
Biopharm Seltek,Bhatia and Gunia 2018,https://doi.org/10.1016/j.obhdp.2018.06.003
Blocks World for Teams,Butchibabu 2016,https://doi.org/10.1177/0018720816639712
Bullard Houses,"Cohen, Leonardelli, and Thompson 2010",http://dx.doi.org/10.2139/ssrn.1612404
Carter Racing,Brittain and Sitkin 1986,http://learnmoore.org/MBA205/05CarterRacing.pdf
Carter Racing (Experimenterless Version),"Sellier, Scopelliti, and Morewedge 2019",https://osf.io/nyxwg
Categorization problem,Abimbola 2006,https://uwspace.uwaterloo.ca/bitstream/handle/10012/824/gaabimbo2006.pdf?sequence=1&isAllowed=y
Checkers,Wooley et al. 2010,https://doi.org/10.1126/science.1193147
Chicken,Camerer 2017,https://doi.org/10.1257/jep.11.4.167
Computer maze,Aggarwal and Wooley 2010,https://doi.org/10.1016/j.obhdp.2013.04.003
