_id,name,value,factorTypeId,createdAt
w5NKdKPYoy9drBeL7,true,true,yaKsaf9dZ4PFdoMmq,2023-04-26T20:21:29Z
JS5FJLuTLMLGmvPJC,false,false,yaKsaf9dZ4PFdoMmq,2023-04-26T20:21:29Z
RE6NyqM5usdFQLptd,true,true,grQBWBiMrGHmC7gt3,2023-04-26T20:21:29Z
Y23qcpjbS2tYTjcfP,false,false,grQBWBiMrGHmC7gt3,2023-04-26T20:21:29Z
t8tC2YSZba66F9XSC,true,true,eqaQyjMTgG4i2CbyM,2023-04-26T20:21:29Z
9zDQvmdJaidq4MmBD,false,false,eqaQyjMTgG4i2CbyM,2023-04-26T20:21:29Z
ZhDC4ZhjyhCGRwXP2,true,true,7MD9A7yvE3rw2QRwH,2023-04-26T20:21:29Z
xpmG8uWAYKqvA2ttf,false,false,7MD9A7yvE3rw2QRwH,2023-04-26T20:21:29Z
egccKfoXCFLdiq5cw,true,true,ivqhL4H96THc5aNuM,2023-04-26T20:21:29Z
cCp7Tm9Dm8FTg52zY,false,false,ivqhL4H96THc5aNuM,2023-04-26T20:21:29Z
7C8oz4teZgcskPjfh,true,true,LYKHiLhoi6kuC6obL,2023-04-26T20:21:29Z
w4yFuu2SLPmexyMdA,false,false,LYKHiLhoi6kuC6obL,2023-04-26T20:21:29Z
jXr5ZLctJgsTbsi9B,single,1,svwe4guwPWQHRs58H,2023-04-26T20:21:30Z
XBAtfweTe8eHAdhPA,double,2,svwe4guwPWQHRs58H,2023-04-26T20:21:30Z
22zXf9tr6X2bFR954,triple,3,svwe4guwPWQHRs58H,2023-04-26T20:21:30Z
vhi8DcLi6JC3Z4AmT,six,6,svwe4guwPWQHRs58H,2023-04-26T20:21:30Z
xDu7NN2vB5YaZhAHH,ten,10,svwe4guwPWQHRs58H,2023-04-26T20:21:30Z
6ZjfKLF6SbbdjEkTq,one_min,60,nckkeNMafK6L7Nzzn,2023-04-26T20:21:30Z
pJmctQkDCvnSBK3Wj,five_mins,300,nckkeNMafK6L7Nzzn,2023-04-26T20:21:30Z
78NBWmXNk3oM2wDiz,two_mins,120,MCgCiD7rDeJGXNa6c,2023-04-26T20:21:30Z
RSDZmCux7CeKbQozZ,two_mins,120,HMKzxgogMMFEY4pAk,2023-04-26T20:21:30Z
TBLxkCXgAteXXjLJY,complete,-1,DxxDhAhotmTRRWvTz,2023-04-26T20:21:30Z
nHj5rCAu3RJ9e3Amc,all,-1,jgdC24YxBmBWbMiMu,2023-04-26T20:21:30Z
DNaLQEzNDQGHeNvHQ,one,1,koZQJNPGxwtTgX2pH,2023-04-26T20:21:30Z
LbnKEh9ieYuomWm3y,five,5,koZQJNPGxwtTgX2pH,2023-04-26T20:21:30Z
XXm6mXiWNygse3Lnc,one,1,mKiToMczzZeN6v3aX,2023-04-26T20:21:30Z
QzFuHjANT97WR4mu2,five,5,mKiToMczzZeN6v3aX,2023-04-26T20:21:30Z
Q5jfRizbr4NLPbJoR,two,2,4aHTu3g8Fgke53LgC,2023-04-26T20:21:30Z
42kqsXhQdCdZAHfAT,1,1,aesa2wTqiAj6huZWu,2023-04-26T20:21:30Z
2CvteN7NFtEdcsXgW,zero,0,473BeGxhFWS78Si9o,2023-04-26T20:21:30Z
xYoRk27DDFZS25wnh,one,1,473BeGxhFWS78Si9o,2023-04-26T20:21:30Z
NhtENMJgzP52MstwX,2,2,aesa2wTqiAj6huZWu,2023-04-26T20:22:00Z
RFS6JW8n9xPSiJ8b7,3,3,aesa2wTqiAj6huZWu,2023-04-26T20:22:05Z
sHH2TJK29g2deqQNf,4,4,aesa2wTqiAj6huZWu,2023-04-26T20:22:09Z
Q5E65KMuYtZ7fRkXx,5,5,aesa2wTqiAj6huZWu,2023-04-26T20:22:15Z
XfpzrJymo9ra2JJdf,one,1,4aHTu3g8Fgke53LgC,2023-08-11T15:28:29Z
