_id,playerId,gameId,roundId,stageId,name,jsonData,createdAt
zmxH3muuzE5N2SG5f,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,2AnaRvyyBhKYYz3bv,action,"{""verb"":""draggingStudent"",""object"":""goat"",""at"":1682608035024}",2023-04-27T15:07:15Z
3L5tRoTmbwG2najbt,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,2AnaRvyyBhKYYz3bv,action,"{""verb"":""releasedStudent"",""object"":""boat"",""at"":1682608035425}",2023-04-27T15:07:15Z
Bp7tEatngpP4mkP2w,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""goat"",""at"":1682608051618}",2023-04-27T15:07:31Z
3rxD9e4bBySo38dxK,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""movedStudent"",""object"":""goat"",""at"":1682608053726}",2023-04-27T15:07:33Z
xLbAx5PaAb3shNee5,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""caterpillar"",""at"":1682608058301}",2023-04-27T15:07:38Z
Zpij9zggt4GFBqkQa,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""releasedStudent"",""object"":""boat"",""at"":1682608058772}",2023-04-27T15:07:38Z
bqJwK2eX2z4NkqgX2,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""wolf"",""at"":1682608062268}",2023-04-27T15:07:42Z
HkssSc5KRhdAPC5zT,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""releasedStudent"",""object"":""boat"",""at"":1682608062681}",2023-04-27T15:07:42Z
c2gEsQgjoixsFfJL7,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""cabbage"",""at"":1682608065384}",2023-04-27T15:07:45Z
ibwK6Mp8pgb7bAjPy,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""releasedStudent"",""object"":""boat"",""at"":1682608065820}",2023-04-27T15:07:45Z
