_id,name,factorIds,createdAt,archivedAt
vMbRHanRqag2xhk9j,single-s0-i0,"jXr5ZLctJgsTbsi9B,6ZjfKLF6SbbdjEkTq,78NBWmXNk3oM2wDiz,RSDZmCux7CeKbQozZ,TBLxkCXgAteXXjLJY,w5NKdKPYoy9drBeL7,RE6NyqM5usdFQLptd,t8tC2YSZba66F9XSC,nHj5rCAu3RJ9e3Amc,QzFuHjANT97WR4mu2,LbnKEh9ieYuomWm3y,ZhDC4ZhjyhCGRwXP2,cCp7Tm9Dm8FTg52zY,7C8oz4teZgcskPjfh,Q5jfRizbr4NLPbJoR,42kqsXhQdCdZAHfAT,2CvteN7NFtEdcsXgW",2023-04-26T20:21:30Z,2023-06-06T19:09:56Z
FWgcjhxvJzcuHjE4o,triple-s0-i0,"22zXf9tr6X2bFR954,6ZjfKLF6SbbdjEkTq,78NBWmXNk3oM2wDiz,RSDZmCux7CeKbQozZ,TBLxkCXgAteXXjLJY,w5NKdKPYoy9drBeL7,RE6NyqM5usdFQLptd,t8tC2YSZba66F9XSC,nHj5rCAu3RJ9e3Amc,QzFuHjANT97WR4mu2,LbnKEh9ieYuomWm3y,ZhDC4ZhjyhCGRwXP2,cCp7Tm9Dm8FTg52zY,7C8oz4teZgcskPjfh,Q5jfRizbr4NLPbJoR,42kqsXhQdCdZAHfAT,2CvteN7NFtEdcsXgW",2023-04-26T20:21:30Z,2023-06-06T19:09:57Z
7KcbyuthJqhRtbuPZ,six-s0-i0,"vhi8DcLi6JC3Z4AmT,6ZjfKLF6SbbdjEkTq,78NBWmXNk3oM2wDiz,RSDZmCux7CeKbQozZ,TBLxkCXgAteXXjLJY,w5NKdKPYoy9drBeL7,RE6NyqM5usdFQLptd,t8tC2YSZba66F9XSC,nHj5rCAu3RJ9e3Amc,QzFuHjANT97WR4mu2,LbnKEh9ieYuomWm3y,ZhDC4ZhjyhCGRwXP2,cCp7Tm9Dm8FTg52zY,7C8oz4teZgcskPjfh,Q5jfRizbr4NLPbJoR,42kqsXhQdCdZAHfAT,2CvteN7NFtEdcsXgW",2023-04-26T20:21:30Z,2023-06-06T19:09:57Z
RZDsi6wrze9ZaRtv7,single-s0-i1,"jXr5ZLctJgsTbsi9B,6ZjfKLF6SbbdjEkTq,78NBWmXNk3oM2wDiz,RSDZmCux7CeKbQozZ,TBLxkCXgAteXXjLJY,w5NKdKPYoy9drBeL7,RE6NyqM5usdFQLptd,t8tC2YSZba66F9XSC,nHj5rCAu3RJ9e3Amc,QzFuHjANT97WR4mu2,LbnKEh9ieYuomWm3y,ZhDC4ZhjyhCGRwXP2,cCp7Tm9Dm8FTg52zY,7C8oz4teZgcskPjfh,Q5jfRizbr4NLPbJoR,42kqsXhQdCdZAHfAT,xYoRk27DDFZS25wnh",2023-04-26T20:21:30Z,2023-06-06T19:09:58Z
hgMZigqpB9dt6GdK5,triple-s0-i1,"22zXf9tr6X2bFR954,6ZjfKLF6SbbdjEkTq,78NBWmXNk3oM2wDiz,RSDZmCux7CeKbQozZ,TBLxkCXgAteXXjLJY,w5NKdKPYoy9drBeL7,RE6NyqM5usdFQLptd,t8tC2YSZba66F9XSC,nHj5rCAu3RJ9e3Amc,QzFuHjANT97WR4mu2,LbnKEh9ieYuomWm3y,ZhDC4ZhjyhCGRwXP2,cCp7Tm9Dm8FTg52zY,7C8oz4teZgcskPjfh,Q5jfRizbr4NLPbJoR,42kqsXhQdCdZAHfAT,xYoRk27DDFZS25wnh",2023-04-26T20:21:30Z,2023-06-06T19:09:58Z
DXPnNrWp6zxtHxk9o,six-s0-i1,"vhi8DcLi6JC3Z4AmT,6ZjfKLF6SbbdjEkTq,78NBWmXNk3oM2wDiz,RSDZmCux7CeKbQozZ,TBLxkCXgAteXXjLJY,w5NKdKPYoy9drBeL7,RE6NyqM5usdFQLptd,t8tC2YSZba66F9XSC,nHj5rCAu3RJ9e3Amc,QzFuHjANT97WR4mu2,LbnKEh9ieYuomWm3y,ZhDC4ZhjyhCGRwXP2,cCp7Tm9Dm8FTg52zY,7C8oz4teZgcskPjfh,Q5jfRizbr4NLPbJoR,42kqsXhQdCdZAHfAT,xYoRk27DDFZS25wnh",2023-04-26T20:21:30Z,2023-06-06T19:09:59Z
dFPhTauwgXjySKAxm,single-s2-i0,"jXr5ZLctJgsTbsi9B,6ZjfKLF6SbbdjEkTq,78NBWmXNk3oM2wDiz,RSDZmCux7CeKbQozZ,TBLxkCXgAteXXjLJY,w5NKdKPYoy9drBeL7,RE6NyqM5usdFQLptd,t8tC2YSZba66F9XSC,nHj5rCAu3RJ9e3Amc,QzFuHjANT97WR4mu2,LbnKEh9ieYuomWm3y,ZhDC4ZhjyhCGRwXP2,cCp7Tm9Dm8FTg52zY,7C8oz4teZgcskPjfh,Q5jfRizbr4NLPbJoR,NhtENMJgzP52MstwX,2CvteN7NFtEdcsXgW",2023-04-26T20:28:17Z,
9YytkqaHLq4aNtMFy,triple-s2-i0,"22zXf9tr6X2bFR954,6ZjfKLF6SbbdjEkTq,78NBWmXNk3oM2wDiz,RSDZmCux7CeKbQozZ,TBLxkCXgAteXXjLJY,w5NKdKPYoy9drBeL7,RE6NyqM5usdFQLptd,t8tC2YSZba66F9XSC,nHj5rCAu3RJ9e3Amc,QzFuHjANT97WR4mu2,LbnKEh9ieYuomWm3y,ZhDC4ZhjyhCGRwXP2,cCp7Tm9Dm8FTg52zY,7C8oz4teZgcskPjfh,Q5jfRizbr4NLPbJoR,NhtENMJgzP52MstwX,2CvteN7NFtEdcsXgW",2023-04-26T20:28:17Z,
co9GxtTZi8ZgiSmb5,six-s2-i0,"vhi8DcLi6JC3Z4AmT,6ZjfKLF6SbbdjEkTq,78NBWmXNk3oM2wDiz,RSDZmCux7CeKbQozZ,TBLxkCXgAteXXjLJY,w5NKdKPYoy9drBeL7,RE6NyqM5usdFQLptd,t8tC2YSZba66F9XSC,nHj5rCAu3RJ9e3Amc,QzFuHjANT97WR4mu2,LbnKEh9ieYuomWm3y,ZhDC4ZhjyhCGRwXP2,cCp7Tm9Dm8FTg52zY,7C8oz4teZgcskPjfh,Q5jfRizbr4NLPbJoR,NhtENMJgzP52MstwX,2CvteN7NFtEdcsXgW",2023-04-26T20:28:17Z,
ctNk7LHzma6qu4Ysd,single-s2-i1,"jXr5ZLctJgsTbsi9B,6ZjfKLF6SbbdjEkTq,78NBWmXNk3oM2wDiz,RSDZmCux7CeKbQozZ,TBLxkCXgAteXXjLJY,w5NKdKPYoy9drBeL7,RE6NyqM5usdFQLptd,t8tC2YSZba66F9XSC,nHj5rCAu3RJ9e3Amc,QzFuHjANT97WR4mu2,LbnKEh9ieYuomWm3y,ZhDC4ZhjyhCGRwXP2,cCp7Tm9Dm8FTg52zY,7C8oz4teZgcskPjfh,Q5jfRizbr4NLPbJoR,NhtENMJgzP52MstwX,xYoRk27DDFZS25wnh",2023-04-26T20:28:17Z,
