_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
QwiDQR8gxTPeRMcEk,1,complete,true,2023-04-26T20:37:58Z,2023-04-26T20:40:41Z,finished,,BABZSPCh2E6DvcWHo,2023-04-26T20:29:49Z,2023-04-27T13:47:44Z
TzpCQavFLbsASR9Cb,2,complete,true,2023-04-26T20:40:56Z,2023-04-26T20:43:16Z,finished,,iTZhqiy7FRwZHH8C5,2023-04-26T20:29:57Z,2023-04-27T13:47:45Z
t6judpqMy9t2mM86Z,3,complete,true,2023-04-27T14:12:08Z,,cancelled,,"W59HFw5ZauvzF9MJh,yzMkYcm3bD92b2idJ,4pDFLjnrgxokYgjYX",2023-04-27T13:48:16Z,2023-05-15T19:25:45Z
Cms8QnymopYA8Pq6p,4,complete,false,,,cancelled,,"7a7tYP47fNCKWHbBp,iJvijfBQJPjfw9GqP,5MbcHHGgj22vFej5b",2023-04-27T13:48:44Z,2023-05-15T19:25:46Z
bmZbbGEX4fzz3FCWk,5,complete,false,2023-04-27T14:12:10Z,,cancelled,,"q9itrt5HqFRzutqoh,zGHgyvxSCbBm36DwQ,TRLegJzYfhvK4atLe",2023-04-27T13:48:50Z,2023-05-15T19:25:47Z
dfDjzpdvjiZXxFCkK,6,complete,false,2023-04-27T14:12:27Z,,cancelled,,"sYNXkF7YdssBxnbHL,3CJHKNAfQSacd8LE3,9TqPBycR6P56r7NQ5",2023-04-27T13:48:59Z,2023-05-15T19:25:47Z
djMqJyjMppZoa6cqD,7,complete,false,2023-04-27T16:28:18Z,,cancelled,,"t5F2fCFwG4dbdcWzE,a2wwiowcCp8EsPNNC",2023-04-27T16:28:11Z,2023-05-15T19:25:48Z
J8S6WpjTKmPa6zBMs,8,complete,true,2023-04-27T17:16:19Z,,cancelled,,"2ahr8HaDRfxmWXire,Kyiajoc5jWipTbjj5,sRuucfiDdxL9X2RsN",2023-04-27T17:05:21Z,2023-05-15T19:25:48Z
3aHTKS6JNbDfMuiAm,9,complete,false,2023-04-27T17:16:21Z,,cancelled,,"7B6ZX5MjBLYBxvTT2,Z9pxzg9yzttvJrSw9,f5B7PBNuxaScpdktq",2023-04-27T17:05:23Z,2023-05-15T19:25:49Z
kDJQ6JuFdzWnj4v8K,10,complete,false,,,cancelled,,"wjeCGzjCz7FS4ecPC,ob5SZhnFEpAPLPpxr,zdCh4gYAy96Fz8Kna",2023-04-27T17:05:24Z,2023-05-15T19:25:49Z
iLGTuC8DFaiJv687o,11,complete,false,2023-04-28T19:21:37Z,,cancelled,,"uasNYD6Tb35cnECoz,rFgxTcwtv8ZQD4Dzc",2023-04-28T19:20:45Z,2023-05-15T19:25:50Z
t2ebtDzx2QsD658cR,12,complete,false,,,cancelled,,"EsGgprtcgKWYpu5i4,Y6jo6R5QoSCJtXwhy,ihmBc2wwgbCrbXQfj",2023-05-01T18:45:00Z,2023-05-15T19:25:50Z
E8Kh6wm7xM2G5n4gg,13,complete,true,2023-05-01T18:57:22Z,2023-05-01T19:59:02Z,finished,,"M5nfyNaSLFRQrkKKh,ukyWZZ59MNvaSYhi8,64acghcjgbcAb6she",2023-05-01T18:45:23Z,
JX8CxjBeAxoexDryM,14,complete,true,2023-05-01T18:57:23Z,2023-05-01T19:40:15Z,cancelled,,"tQL23pGZHFjtter2R,GEAFmo6Yfti5xMNfv,ceiLDn4HqC44vJT6c",2023-05-01T18:45:34Z,2023-05-15T19:25:51Z
EvJRNiuz6wL7n9FC8,15,complete,true,2023-05-01T19:57:02Z,2023-05-01T21:14:06Z,finished,,"dG34CgLgbSor59kx4,2m6HRT2ZNWJeBLa2b,CjTQ4KBQxmSWjE69a",2023-05-01T19:37:36Z,
L8rko9CS3zKKaWzci,16,complete,true,2023-05-01T19:57:04Z,2023-05-01T21:28:29Z,finished,,"rb9ztuSRACwBBTSHw,X2weMabxmD3Wdsvqw,fjx8LpmnKp35kCuRD",2023-05-01T19:37:38Z,
hTs5HEx4EcqQeBDKQ,17,complete,false,,,cancelled,,"M3n8gk26bSP8z5pY4,2tyGLYEFb8wL3aiw6,kYNxwz6fBSTFwpdks",2023-05-02T13:46:50Z,2023-05-15T19:25:51Z
jYuLDRg2Yi2eJ6wZQ,18,complete,false,,,cancelled,,"r62w2qRpdvHEfjgQC,RHMhuNYep4K23Rzwd,LkMmqSNEmzD3sH8jW",2023-05-02T13:46:51Z,2023-05-15T19:25:52Z
dHMQHQ659aW4JMtcv,19,complete,false,,,cancelled,,"bRy4gkeYMkyABKNeC,mdMxXobzRqTsRxf42,5AcG4dgp9Dt9eNEqc",2023-05-02T13:46:52Z,2023-05-15T19:25:53Z
M6RQoiAjmbBDs4MJ8,20,complete,true,2023-05-02T13:58:11Z,2023-05-02T15:04:27Z,finished,,"b2civAAnGyMSWq5BK,qLihXxo3mwru66mfv,xqgs55dps4PJsQmJr,g7LsHjdf2LXojrfZC,eZySy4Jv4An9PTdYi,WDs6i6zcz7Cqqm7k5",2023-05-02T13:55:48Z,
vrNtNwJkgQ9yQdQth,21,complete,false,2023-05-02T14:06:13Z,,cancelled,,"M7BmsXvb9e4uFJbZ2,uuqzgfuCaErQS5yPN,fgAKSCHPHtxj596N6,bWG7eBqfA4TXWKMp2,EJEvvgvGEjrYyFhTE,2E3iqzvE5cW5Tdxi2",2023-05-02T14:06:09Z,2023-05-15T19:25:54Z
cpB59rz9zSvxbatpe,22,complete,true,2023-05-02T14:57:09Z,2023-05-02T16:17:52Z,finished,,"KJXdkDnibzQTYm3NP,osKwsv98NugpGBZwe,7GewqSh6RPqrZ5Ffv,j53AX7Q3iyrQPnRNg,xFTCBExj7bRC9vbz6,4X2yd7fEjGireftSs",2023-05-02T14:41:22Z,
MFqhxZeTqDSEWqew9,23,complete,false,2023-05-02T14:57:19Z,,cancelled,,"nDWSWrDds8pacn2ux,oaRdyNyA92ZK95cBe,u62kTowyefLwyiJCk,5sKMvhDRcZ2u4XhDt,zAQhRih8ghACqdoAz,usSApyzhNiFhALjsJ",2023-05-02T14:41:27Z,2023-05-15T19:25:54Z
z7MdcJh8pxhkmL3Bk,24,complete,true,2023-05-02T17:57:45Z,2023-05-02T19:11:28Z,finished,,"y6mXGMiL2887G9Gr4,wZAYh4Lv5iAj5EMMK,FKbjxZJr3uk7pbbPA,3trNMd2K7sEFGhHTP,RFXfGc3Y4KinrhNY8,NeNkLkSk5mr4wsCA9",2023-05-02T17:18:15Z,
8W2Wz4gXC9SRaeCAc,25,complete,true,2023-05-02T17:57:48Z,2023-05-02T19:27:22Z,finished,,"KPHC575K8XRdqfcTW,MhZwXY2ZB2tR62RXs,sNRJJReo8CpoT4t8e,xDccQvLh6oN3h3WfL,xggZjFrbNdS7xmt7d,zboZjsXJtXMmgj2D5",2023-05-02T17:43:03Z,
