_id,index,availableCount,timeoutStartedAt,timedOutAt,queuedPlayerIds,playerIds,gameId,treatmentId,batchId,lobbyConfigId,createdAt
BABZSPCh2E6DvcWHo,0,1,,,W4TDn2gTmoP6TnLRT,W4TDn2gTmoP6TnLRT,BABZSPCh2E6DvcWHo,dFPhTauwgXjySKAxm,QwiDQR8gxTPeRMcEk,ymGg8uuAHBBGCJqGB,2023-04-26T20:29:49Z
iTZhqiy7FRwZHH8C5,0,1,,,nBK3q7T3LF56tAHDu,nBK3q7T3LF56tAHDu,iTZhqiy7FRwZHH8C5,ctNk7LHzma6qu4Ysd,TzpCQavFLbsASR9Cb,ymGg8uuAHBBGCJqGB,2023-04-26T20:29:57Z
W59HFw5ZauvzF9MJh,0,1,,,bZSLQFwqssGMPm28w,bZSLQFwqssGMPm28w,W59HFw5ZauvzF9MJh,dFPhTauwgXjySKAxm,t6judpqMy9t2mM86Z,ymGg8uuAHBBGCJqGB,2023-04-27T13:48:16Z
yzMkYcm3bD92b2idJ,1,3,2023-04-27T14:17:21Z,,"6bYS5w4kN6PFn98ay,XkeFHqx7kwP2hpssX,y7KeMXZjr5K4DqznM","6bYS5w4kN6PFn98ay,y7KeMXZjr5K4DqznM,XkeFHqx7kwP2hpssX",yzMkYcm3bD92b2idJ,9YytkqaHLq4aNtMFy,t6judpqMy9t2mM86Z,ymGg8uuAHBBGCJqGB,2023-04-27T13:48:16Z
4pDFLjnrgxokYgjYX,2,6,2023-04-27T14:16:31Z,,"ZxJ4Pzsi3bi9QNc49,hcTZ5um2TDznybnaW,HcqCJRNBz7SxSrz6P,89DaEBhnEZvv7FhG9,JTuSTHm2f2sPLYgNA,txQhLn3D3kzhdYN9S,BWmzAF3neeyaWs2Zk","ZxJ4Pzsi3bi9QNc49,HcqCJRNBz7SxSrz6P,89DaEBhnEZvv7FhG9,hcTZ5um2TDznybnaW,JTuSTHm2f2sPLYgNA,BWmzAF3neeyaWs2Zk",4pDFLjnrgxokYgjYX,co9GxtTZi8ZgiSmb5,t6judpqMy9t2mM86Z,ymGg8uuAHBBGCJqGB,2023-04-27T13:48:16Z
7a7tYP47fNCKWHbBp,0,6,,,,,,iR7SDXzQpALwPMzoh,Cms8QnymopYA8Pq6p,ymGg8uuAHBBGCJqGB,2023-04-27T13:48:44Z
iJvijfBQJPjfw9GqP,1,3,,,,,,Xg6TSto2BNDfqH7KY,Cms8QnymopYA8Pq6p,ymGg8uuAHBBGCJqGB,2023-04-27T13:48:44Z
5MbcHHGgj22vFej5b,2,1,,,,,,ctNk7LHzma6qu4Ysd,Cms8QnymopYA8Pq6p,ymGg8uuAHBBGCJqGB,2023-04-27T13:48:44Z
q9itrt5HqFRzutqoh,0,1,,,zw7aPjjQWheRiJL2n,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,dFPhTauwgXjySKAxm,bmZbbGEX4fzz3FCWk,ymGg8uuAHBBGCJqGB,2023-04-27T13:48:50Z
zGHgyvxSCbBm36DwQ,1,6,2023-04-27T14:29:30Z,,"txQhLn3D3kzhdYN9S,ingmh9G5vkprYfvno,ojGqr7XD2xbL3jdF8,SqSzSiGTHiQAziiJE,SHzqomc7hBvg5MmYy,xzxz9zH7Gu2RBKiCM,WYTxj2kZGnWSZk2ph,uxwB6TqXufHGguvry,pT7v5D6NwtSbM7Jgw,TCWEDGhNf4qERB4Wm,a47kqAdXS5rt3AveW,2a6wvYpHbYbGX8KLS,q8BDLiE6gn9AQoJvX,XeLrexj3aYwrza4vk","uxwB6TqXufHGguvry,TCWEDGhNf4qERB4Wm,ojGqr7XD2xbL3jdF8,a47kqAdXS5rt3AveW",,co9GxtTZi8ZgiSmb5,bmZbbGEX4fzz3FCWk,ymGg8uuAHBBGCJqGB,2023-04-27T13:48:50Z
