IV,Model,Wave,n_train,DV_Type,RMSE,IV-Model,Wave_Label
Task Space,OLS,Wave 1,60,strong,0.25019084110009104,Task Space-OLS,10
Task Space,OLS,Wave 1,60,weak,0.5374456886820574,Task Space-OLS,10
Task Space,OLS,Wave 2,90,strong,0.30406880271142134,Task Space-OLS,15
Task Space,OLS,Wave 2,90,weak,0.6083485551572924,Task Space-OLS,15
Task Space,E-Net,Wave 1,60,strong,0.2564198174335036,Task Space-E-Net,10
Task Space,E-Net,Wave 1,60,weak,0.7407127609651435,Task Space-E-Net,10
Task Space,E-Net,Wave 2,90,strong,0.27946634718904967,Task Space-E-Net,15
Task Space,E-Net,Wave 2,90,weak,0.5824080353036074,Task Space-E-Net,15
McGrath Categorical,OLS,Wave 1,60,strong,0.37343691658067846,McGrath Categorical-OLS,10
McGrath Categorical,OLS,Wave 1,60,weak,0.767611644256293,McGrath Categorical-OLS,10
McGrath Categorical,OLS,Wave 2,90,strong,0.37613375933775167,McGrath Categorical-OLS,15
McGrath Categorical,OLS,Wave 2,90,weak,0.7293761437445409,McGrath Categorical-OLS,15
McGrath Categorical,E-Net,Wave 1,60,strong,0.3783592360771375,McGrath Categorical-E-Net,10
McGrath Categorical,E-Net,Wave 1,60,weak,0.7407127609651435,McGrath Categorical-E-Net,10
McGrath Categorical,E-Net,Wave 2,90,strong,0.37313389387226187,McGrath Categorical-E-Net,15
McGrath Categorical,E-Net,Wave 2,90,weak,0.7656655508535616,McGrath Categorical-E-Net,15
McGrath Subspace,OLS,Wave 1,60,strong,0.28945876133402343,McGrath Subspace-OLS,10
McGrath Subspace,OLS,Wave 1,60,weak,0.953965534763832,McGrath Subspace-OLS,10
McGrath Subspace,OLS,Wave 2,90,strong,0.3299259423933654,McGrath Subspace-OLS,15
McGrath Subspace,OLS,Wave 2,90,weak,0.7311786873135883,McGrath Subspace-OLS,15
McGrath Subspace,E-Net,Wave 1,60,strong,0.29402010716308646,McGrath Subspace-E-Net,10
McGrath Subspace,E-Net,Wave 1,60,weak,0.7103194107598481,McGrath Subspace-E-Net,10
McGrath Subspace,E-Net,Wave 2,90,strong,0.30841632212029024,McGrath Subspace-E-Net,15
McGrath Subspace,E-Net,Wave 2,90,weak,0.7604168093429304,McGrath Subspace-E-Net,15
Steiner Subspace,OLS,Wave 1,60,strong,0.3465188065636105,Steiner Subspace-OLS,10
Steiner Subspace,OLS,Wave 1,60,weak,0.7314561402274414,Steiner Subspace-OLS,10
Steiner Subspace,OLS,Wave 2,90,strong,0.350432883719312,Steiner Subspace-OLS,15
Steiner Subspace,OLS,Wave 2,90,weak,0.6889734267468468,Steiner Subspace-OLS,15
Steiner Subspace,E-Net,Wave 1,60,strong,0.3280656214489695,Steiner Subspace-E-Net,10
Steiner Subspace,E-Net,Wave 1,60,weak,0.7407127609651435,Steiner Subspace-E-Net,10
Steiner Subspace,E-Net,Wave 2,90,strong,0.34069154478196256,Steiner Subspace-E-Net,15
Steiner Subspace,E-Net,Wave 2,90,weak,0.6662933243787486,Steiner Subspace-E-Net,15
Laughlin Subspace,OLS,Wave 1,60,strong,0.38917277025695685,Laughlin Subspace-OLS,10
Laughlin Subspace,OLS,Wave 1,60,weak,1.0931187031948626,Laughlin Subspace-OLS,10
Laughlin Subspace,OLS,Wave 2,90,strong,0.34700212388890483,Laughlin Subspace-OLS,15
Laughlin Subspace,OLS,Wave 2,90,weak,0.8242464380498172,Laughlin Subspace-OLS,15
Laughlin Subspace,E-Net,Wave 1,60,strong,0.29126320638831144,Laughlin Subspace-E-Net,10
Laughlin Subspace,E-Net,Wave 1,60,weak,0.7407127609651435,Laughlin Subspace-E-Net,10
Laughlin Subspace,E-Net,Wave 2,90,strong,0.31404411569308227,Laughlin Subspace-E-Net,15
Laughlin Subspace,E-Net,Wave 2,90,weak,0.7430587495831772,Laughlin Subspace-E-Net,15
