,iv,dv,model,y_pred,y_actual,rmse,r2
0,Task Space,strong,OLS,0.9969141172094926,0.5365910665295414,0.30406880271142134,0.32579471714925723
1,Task Space,strong,OLS,0.9667551443228171,0.4872172719643929,0.30406880271142134,0.32579471714925723
2,Task Space,strong,OLS,0.9447473580079901,0.8566664522352182,0.30406880271142134,0.32579471714925723
3,Task Space,strong,OLS,0.9145883851213146,0.4172345912467882,0.30406880271142134,0.32579471714925723
4,Task Space,strong,OLS,0.990590486782072,0.8357199102872184,0.30406880271142134,0.32579471714925723
5,Task Space,strong,OLS,0.9604315138953964,0.4434470307069863,0.30406880271142134,0.32579471714925723
36,Task Space,strong,OLS,1.2289642468914928,1.1429716461276425,0.30406880271142134,0.32579471714925723
37,Task Space,strong,OLS,1.1988052740048172,1.606874943928007,0.30406880271142134,0.32579471714925723
38,Task Space,strong,OLS,1.1767974876899905,0.9701224484762156,0.30406880271142134,0.32579471714925723
39,Task Space,strong,OLS,1.146638514803315,1.6590797244094488,0.30406880271142134,0.32579471714925723
40,Task Space,strong,OLS,1.2226406164640722,1.0652368185880248,0.30406880271142134,0.32579471714925723
41,Task Space,strong,OLS,1.1924816435773966,1.5343744903311691,0.30406880271142134,0.32579471714925723
48,Task Space,strong,OLS,1.07196019964237,1.3245337439808365,0.30406880271142134,0.32579471714925723
49,Task Space,strong,OLS,1.0418012267556944,1.211537884674832,0.30406880271142134,0.32579471714925723
50,Task Space,strong,OLS,1.0197934404408675,1.5000806081575453,0.30406880271142134,0.32579471714925723
51,Task Space,strong,OLS,0.9896344675541918,1.4601958277536344,0.30406880271142134,0.32579471714925723
52,Task Space,strong,OLS,1.0656365692149492,1.4167518704253697,0.30406880271142134,0.32579471714925723
53,Task Space,strong,OLS,1.0354775963282739,1.510027745031219,0.30406880271142134,0.32579471714925723
90,Task Space,strong,OLS,1.0798141233672267,0.9560722279305756,0.30406880271142134,0.32579471714925723
91,Task Space,strong,OLS,1.049655150480551,0.8561241692058278,0.30406880271142134,0.32579471714925723
92,Task Space,strong,OLS,1.027647364165724,0.9537737866153518,0.30406880271142134,0.32579471714925723
93,Task Space,strong,OLS,0.9974883912790485,0.8207540491389096,0.30406880271142134,0.32579471714925723
94,Task Space,strong,OLS,1.0734904929398061,0.8781939714970359,0.30406880271142134,0.32579471714925723
95,Task Space,strong,OLS,1.0433315200531301,0.8977409166498438,0.30406880271142134,0.32579471714925723
96,Task Space,strong,OLS,0.6980180628343633,0.6849533854055917,0.30406880271142134,0.32579471714925723
97,Task Space,strong,OLS,0.6678590899476877,0.6482446646611689,0.30406880271142134,0.32579471714925723
98,Task Space,strong,OLS,0.6458513036328609,0.905369690557488,0.30406880271142134,0.32579471714925723
99,Task Space,strong,OLS,0.6156923307461853,0.8405494224264648,0.30406880271142134,0.32579471714925723
100,Task Space,strong,OLS,0.6916944324069426,0.7541076285117584,0.30406880271142134,0.32579471714925723
101,Task Space,strong,OLS,0.661535459520267,0.645204118070959,0.30406880271142134,0.32579471714925723
0,Task Space,strong,E-Net,0.8634036198589321,0.5365910665295414,0.27946634718904967,0.4304819932313342
1,Task Space,strong,E-Net,0.8726467649298006,0.4872172719643929,0.27946634718904967,0.4304819932313342
2,Task Space,strong,E-Net,0.8426681794761919,0.8566664522352182,0.27946634718904967,0.4304819932313342
3,Task Space,strong,E-Net,0.8119568395964584,0.4172345912467882,0.27946634718904967,0.4304819932313342
4,Task Space,strong,E-Net,0.875666340690401,0.8357199102872184,0.27946634718904967,0.4304819932313342
5,Task Space,strong,E-Net,0.8729680607646408,0.4434470307069863,0.27946634718904967,0.4304819932313342
6,Task Space,strong,E-Net,1.049168900737828,1.1429716461276425,0.27946634718904967,0.4304819932313342
7,Task Space,strong,E-Net,1.1880033107765364,1.606874943928007,0.27946634718904967,0.4304819932313342
8,Task Space,strong,E-Net,1.0470448413793716,0.9701224484762156,0.27946634718904967,0.4304819932313342
9,Task Space,strong,E-Net,1.1459247664674779,1.6590797244094488,0.27946634718904967,0.4304819932313342
10,Task Space,strong,E-Net,1.0778212344650924,1.0652368185880248,0.27946634718904967,0.4304819932313342
11,Task Space,strong,E-Net,1.204714219507172,1.5343744903311691,0.27946634718904967,0.4304819932313342
12,Task Space,strong,E-Net,1.0387793648066073,1.3245337439808365,0.27946634718904967,0.4304819932313342
13,Task Space,strong,E-Net,1.0695117061986599,1.211537884674832,0.27946634718904967,0.4304819932313342
14,Task Space,strong,E-Net,1.0074542608781505,1.5000806081575453,0.27946634718904967,0.4304819932313342
15,Task Space,strong,E-Net,0.9982321173196008,1.4601958277536344,0.27946634718904967,0.4304819932313342
16,Task Space,strong,E-Net,1.0335065508174515,1.4167518704253697,0.27946634718904967,0.4304819932313342
17,Task Space,strong,E-Net,1.0522974672128753,1.510027745031219,0.27946634718904967,0.4304819932313342
18,Task Space,strong,E-Net,1.049939484921692,0.9560722279305756,0.27946634718904967,0.4304819932313342
19,Task Space,strong,E-Net,1.0878157821963441,0.8561241692058278,0.27946634718904967,0.4304819932313342
20,Task Space,strong,E-Net,1.024259652040734,0.9537737866153518,0.27946634718904967,0.4304819932313342
21,Task Space,strong,E-Net,1.022181464364784,0.8207540491389096,0.27946634718904967,0.4304819932313342
22,Task Space,strong,E-Net,1.047027207214655,0.8781939714970359,0.27946634718904967,0.4304819932313342
23,Task Space,strong,E-Net,1.072962079492678,0.8977409166498438,0.27946634718904967,0.4304819932313342
24,Task Space,strong,E-Net,0.8649332251829149,0.6849533854055917,0.27946634718904967,0.4304819932313342
