stageId,task,complexity,playerCount,score_real_raw,score_real_raw_normalized,nominal_avg_dedup_sum,normalized_score
2279a3gi8ERfCfusv,Unscramble Words,Medium,3,6.0,75.0,59.875,1.2526096033402923
2tYfw4e3K8p2kv7wh,Unscramble Words,Medium,3,8.0,100.0,59.875,1.6701461377870563
2uAsmDDMQLdfPc7YC,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
43XRYhwwkEG2efP4e,Unscramble Words,Medium,3,8.0,100.0,59.875,1.6701461377870563
44u5haH9d4yCR5ZpC,Unscramble Words,Low,6,7.0,87.5,99.375,0.8805031446540881
4KNNrG2GeEex8Px5T,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
4Khaq2nb4Bv4yTv6F,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
4nWs9KQozQiQ9KNy8,Unscramble Words,Low,3,7.0,87.5,94.625,0.9247027741083224
55uR8RbPGt6e2dSkS,Unscramble Words,Medium,3,5.0,62.5,59.875,1.0438413361169103
57kFuAbKfARujAhoo,Unscramble Words,High,3,7.0,87.5,78.0,1.1217948717948718
5QJiMrxRzsTG5GrZe,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
5ZAvtbtg2BTNAydCJ,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
6SvP6kMFY3uRHuF94,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
6ThikNT7YXWvYskuH,Unscramble Words,Medium,6,7.0,87.5,79.875,1.0954616588419406
8HHAnJuG3ck2oRTQZ,Unscramble Words,Medium,6,8.0,100.0,79.875,1.2519561815336464
8rZYB4Fmc8QJDNDe5,Unscramble Words,High,6,8.0,100.0,93.125,1.0738255033557047
8sJbfL9sEuuYktYLa,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
8wpXWvqvKtRYoruYk,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
9MYrMYXYBHYdiHsqL,Unscramble Words,Medium,6,8.0,100.0,79.875,1.2519561815336464
9crsr5T7jyRiTDkjA,Unscramble Words,High,3,7.0,87.5,78.0,1.1217948717948718
hk_ff1360a6d6979a50,Unscramble Words,Medium,3,7.0,87.5,59.875,1.4613778705636744
hk_c9660c5efe7c8634,Unscramble Words,High,3,7.0,87.5,78.0,1.1217948717948718
hk_f4d548a98dc360e5,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
Bjef8s4SBgjGm6NT7,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
Bq29p6GhQvr8MM8gW,Unscramble Words,Medium,6,7.0,87.5,79.875,1.0954616588419406
CFqibdx3BrPnvr6mc,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
Chj8wsY4h6Psp5hiT,Unscramble Words,Medium,3,7.0,87.5,59.875,1.4613778705636744
Co6WME2SdJsfWo76b,Unscramble Words,High,6,8.0,100.0,93.125,1.0738255033557047
Cx2ENKoz9Q4NqX5CL,Unscramble Words,High,6,8.0,100.0,93.125,1.0738255033557047
D56sPkdWFbXuGFSv8,Unscramble Words,Medium,3,8.0,100.0,59.875,1.6701461377870563
DrLWeyBAj9FZcEXoA,Unscramble Words,Medium,3,8.0,100.0,59.875,1.6701461377870563
EQgLDesJLEt6bNvHB,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
EhfJBLfuttNYkQjAA,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
EqzYxmCkksMhP9YiT,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
EwkTJXH98B3xaeDCz,Unscramble Words,High,6,8.0,100.0,93.125,1.0738255033557047
FMqQGi42cEu5c26tF,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
FP6fWDSP5Q48obmXK,Unscramble Words,Medium,3,8.0,100.0,59.875,1.6701461377870563
FXkhaAkqc2gtLnQfo,Unscramble Words,High,3,8.0,100.0,78.0,1.2820512820512822
FZS6pufFxkXZgCkGs,Unscramble Words,Medium,3,8.0,100.0,59.875,1.6701461377870563
Fn8xZ4sEf6Z7eJWpA,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
HFDaoxFqXEixjPDvM,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
HNs57fMmiou9YKSqY,Unscramble Words,High,3,7.0,87.5,78.0,1.1217948717948718
