"","task_names","generate.planning","generate.creativity","choose.intellective","choose.decision","negotiate.cogconf","negotiate.mixmotive","execute.contest","execute.performance"
"1","9 Dot Problem",0,0.6,1,0,0,0,0,0
"2","Abstract grid task",0,0.6,1,0,0,0,0,0
"3","Advertisement writing",0,1,0,0,0,0,0,0
"4","Aerospace Investment (Role-playing)",0,0,0,0,1,1,0,0
"5","Allocating resources to programs",0.6,0.6,0.466666666666667,0,0,0,0,0
"6","Architectural design task",0,0.6,1,0,0,0,0,0
"7","Battle of the sexes",0,0,0.733333333333333,0,0,0,0,0
"8","Best job candidate (hidden-profile)",0.6,0,0.666666666666667,0,0,0,0,0
"9","Biopharm Seltek",1,0,0.733333333333333,0,0,0,0,0
"10","Blocks World for Teams",0,0,1,0,0,0,0,0
"11","Bullard Houses",0,0,0.733333333333333,0,0,0,0,0
"12","Carter Racing",0,0,1,0,0,0,0,0
"13","Categorization problem",0,0.6,1,0,0,0,0,0
"14","Checkers",0,0,1,0,0,0,0,0
"15","Cheering and Clapping",0,0,0,0,0,0,0,0
"16","Chicken",0,0,0,0,0,1,0,0
"17","Crisis mapping",1,0.6,1,0,0,0,0,0
"18","Desert survival",0,0.6,0.466666666666667,0,0,0,0,0
"19","Dictator game and its variants",0,0,0.466666666666667,0,0,0,0,0
"20","Divergent Association Task",0,1,0.8,0,0,0,0,0
"21","Energetics Meets Generex",0,0,0,0,1,1,0,0
"22","Estimating geological metrics",0,0,1,0,0,0,0,0
"23","Estimating pages of a book",0,0.6,1,0,0,0,0,0
"24","Estimating social quantity",0,0,0,0,0,0,0,0
"25","Euclidean traveling salesperson",0,0,0,0.6,0,0,1,0
"26","Find the maximum",0,0,1,0,0,0,0,0
"27","Forecasting and Estimation in Groups, with Confidence",0,0,1,0,0,0,0,0
"28","Game of Clue - Terrorist Attack",0.6,0,1,0,0,0,0,0
"29","Graph coloring task",0,0.6,1,0,0,0,0,0
"30","Guessing numbers",0,0,0,0,0,0,1,0
