"","task_names","All_Columns","Shaw","McGrath","Zigurs","Steiner"
"1","Chicken","1","2","2","3","5"
"2","Dictator game and its variants","1","1","2","1","5"
"3","Iterated Snowdrift Game (aka Hawk-Dove game)","1","1","1","5","5"
"4","Oligopoly game","1","4","2","4","5"
"5","Sequential dyadic die-rolling","1","4","2","5","4"
"6","The beer game","1","5","1","4","5"
"7","Ultimatum game (various versions)","1","1","2","5","5"
"8","Volunteer Investment Game","1","2","2","3","5"
"9","Whac-A-Mole","1","5","1","1","5"
"10","9 Dot Problem","2","4","1","5","3"
"11","Estimating geological metrics","2","4","5","5","1"
"12","Estimating pages of a book","2","4","3","5","3"
"13","Find the maximum","2","4","5","1","3"
"14","Forecasting and Estimation in Groups, with Confidence","2","2","5","1","3"
"15","Husbands and wives transfer","2","5","3","1","3"
"16","Image rating","2","4","3","1","3"
"17","Judgment of product and slogan","2","4","3","5","3"
"18","letters-to-numbers problems (cryptography)","2","4","3","5","3"
"19","Rank cities by population, rank words by familiarity","2","4","5","4","2"
"20","Ravens Matrices","2","4","5","1","1"
"21","Reading the mind in the eyes","2","4","3","1","3"
"22","Splitting a deck of cards","2","4","3","1","3"
"23","Sudoku","2","4","5","5","2"
"24","Unscramble words (anagrams)","2","4","3","5","3"
"25","Wildcam Gorongosa (Zooniverse)","2","4","5","1","3"
"26","Wolf, goat and cabbage transfer","2","5","5","5","3"
"27","Aerospace Investment (Role-playing)","3","5","4","3","2"
"28","Biopharm Seltek","3","4","4","4","4"
"29","Bullard Houses","3","5","4","4","1"
"30","Energetics Meets Generex","3","5","4","2","4"
"31","Investment game (hidden-profile)","3","5","4","4","1"
"32","Minimal Group Paradigm (study diversity)","3","5","4","4","1"
"33","New Recruit","3","1","4","4","4"
"34","pharmaceutical company (hidden-profile)","3","5","4","4","1"
"35","Strike Group Defender (developed by Metateq, Inc.)","3","5","5","4","4"
"36","TOPSIM - general mgmt business game","3","5","5","4","4"
"37","Viking","3","5","4","4","4"
"38","Categorization problem","4","2","5","3","1"
"39","Crisis mapping","4","5","4","5","2"
"40","Euclidean traveling salesperson","4","5","1","3","3"
"41","Game of Clue - Terrorist Attack","4","5","1","4","1"
"42","Graph coloring task","4","4","1","5","1"
"43","Putting food into categories","4","4","3","1","1"
"44","Railroad Route Construction game","4","3","1","5","5"
"45","Random dot motion","4","5","5","5","5"
"46","Recall word lists","4","4","3","1","5"
"47","Room assignment task","4","5","1","3","1"
"48","Run a mini business","4","4","5","3","2"
"49","Space Fortress","4","5","1","1","4"
"50","The N light bulbs game","4","5","3","5","2"
"51","Wildcat Wells","4","5","3","5","2"
"52","Word completion given part of word","4","4","3","1","2"
"53","Advertisement writing","5","1","5","2","2"
"54","Allocating resources to programs","5","1","4","2","1"
"55","Architectural design task","5","5","5","2","2"
"56","Desert survival","5","1","5","2","4"
"57","Manipulation (change object to goal state)","5","1","5","4","2"
"58","Moral Reasoning (Disciplinary Action Case)","5","1","4","2","1"
"59","Shopping plan","5","5","5","2","2"
"60","Summarize Discussion","5","1","4","4","2"
"61","Writing story","5","1","5","2","3"
