"","task_names","generate.planning","generate.creativity","choose.intellective","choose.decision","negotiate.cogconf","negotiate.mixmotive","execute.contest","execute.performance"
"1","9 Dot Problem",0,1,1,0,0,0,0,0
"2","Abstract grid task",0,1,1,0,0,0,0,0
"3","Advertisement writing",0,1,0,0,0,0,0,0
"4","Aerospace Investment (Role-playing)",0,0,0,0,1,1,0,0
"5","Allocating resources to programs",1,1,1,0,0,0,0,0
"6","Architectural design task",0,1,1,0,0,0,0,0
"7","Battle of the sexes",0,0,1,0,0,0,0,0
"8","Best job candidate (hidden-profile)",1,0,1,0,0,0,0,0
"9","Biopharm Seltek",1,0,1,0,0,0,0,0
"10","Blocks World for Teams",0,0,1,0,0,0,0,0
"11","Bullard Houses",0,0,0,0,1,1,0,0
"12","Carter Racing",0,0,1,0,0,0,0,0
"13","Categorization problem",0,1,1,0,0,0,0,0
"14","Checkers",0,0,1,0,0,0,0,0
"15","Cheering and Clapping",0,0,0,0,0,0,0,0
"16","Chicken",0,0,0,0,0,1,0,0
"17","Crisis mapping",1,1,1,0,0,0,0,0
"18","Desert survival",0,1,1,0,0,0,0,0
"19","Dictator game and its variants",0,0,0,1,0,1,0,0
"20","Divergent Association Task",0,1,1,0,0,0,0,0
"21","Energetics Meets Generex",0,0,0,0,1,1,0,0
"22","Estimating geological metrics",0,0,1,0,0,0,0,0
"23","Estimating pages of a book",0,1,1,0,0,0,0,0
"24","Euclidean traveling salesperson",0,0,0,1,0,0,1,0
"25","Find the maximum",0,0,1,0,0,0,0,0
"26","Forecasting and Estimation in Groups, with Confidence",0,0,1,0,0,0,0,0
"27","Game of Clue - Terrorist Attack",1,0,1,0,0,0,0,0
"28","Graph coloring task",0,1,1,0,0,0,0,0
"29","Guessing numbers",0,0,0,0,0,0,1,0
"30","Hidden figures in a picture",0,0,1,0,0,0,0,0
"31","Husbands and wives transfer",0,1,1,0,0,0,0,0
"32","Image rating",0,1,1,0,0,0,0,0
"33","Intergroup Prisoner's Dilemma",0,0,0,0,0,1,0,0
"34","Intergroup Prisoner's Dilemma-Maximizing Difference",0,0,0,1,1,0,1,0
"35","Investment game (hidden-profile)",1,0,1,0,0,0,0,0
"36","Iterated Snowdrift Game (aka Hawk-Dove game)",0,0,1,0,0,0,0,0
"37","Iterative lemonade stand task",0,0,1,0,0,0,0,0
"38","Judgment of product and slogan",0,0,1,0,0,0,0,0
"39","letters-to-numbers problems (cryptography)",0,1,1,0,0,0,0,0
"40","Logic Problem",0,0,1,0,0,0,0,0
"41","Manipulation (change object to goal state)",0,1,1,0,0,0,0,1
"42","Mastermind",0,0,0,0,1,0,0,0
"43","Minimal Group Paradigm (study diversity)",0,0,0,0,1,1,0,0
"44","Minimum-effort tacit coordination game",0,0,0,0,0,0,0,0
"45","Mock jury",0,0,1,0,0,0,0,0
"46","Moral Reasoning (Disciplinary Action Case)",1,0,1,0,0,0,0,0
"47","New Recruit",1,0,0,0,0,0,0,0
"48","Oligopoly game",0,0,0,0,0,1,0,0
"49","Organization Game",0,1,1,0,0,0,0,0
"50","pharmaceutical company (hidden-profile)",1,0,1,0,0,0,0,0
"51","Public goods game",0,0,1,0,0,0,0,0
"52","Putting food into categories",0,1,1,0,0,0,0,0
"53","Radio assembly task",0,1,1,0,0,0,0,1
"54","Railroad Route Construction game",0,1,1,0,0,0,0,0
"55","Random dot motion",0,0,0,0,1,0,0,0
"56","Rank cities by population, rank words by familiarity",0,0,1,0,0,0,0,0
"57","Ravens Matrices",0,1,1,0,0,0,0,0
"58","Reading the mind in the eyes",0,1,1,0,0,0,0,0
"59","Recall association",0,0,1,0,0,0,0,0
"60","Recall images",0,0,1,0,0,0,0,0
"61","Recall stories",0,0,1,0,0,0,0,0
"62","Recall videos",0,0,1,0,0,0,0,0
"63","Recall word lists",0,1,1,0,0,0,0,0
"64","Room assignment task",1,0,1,0,0,0,0,0
"65","Run a mini business",0,1,1,0,0,0,0,0
"66","Search for Oil Task",0,0,0,0,1,0,0,0
"67","Sequential dyadic die-rolling",0,0,0,0,0,0,0,0
"68","Shopping plan",1,1,1,0,0,0,0,0
"69","Space Fortress",0,0,1,0,0,0,0,0
"70","Splitting a deck of cards",0,1,1,0,0,0,0,0
"71","Strike Group Defender (developed by Metateq, Inc.)",0,0,1,0,0,0,0,0
"72","Sudoku",0,1,1,0,0,0,0,0
"73","Summarize Discussion",1,1,0,0,0,0,0,0
"74","Target Search",0,0,1,0,0,0,0,0
"75","The beer game",0,0,0,0,0,0,0,0
"76","The Fish game",0,0,1,0,0,0,0,0
"77","The maximum of a function",0,0,1,0,0,0,0,0
"78","The N light bulbs game",0,0,1,0,0,0,0,0
"79","To evacuate or not to evacuate",1,0,1,0,0,0,0,0
"80","TOPSIM - general mgmt business game",1,0,1,0,0,0,0,0
"81","Trivia Multiple Choice Quiz",0,0,0,1,1,1,0,0
"82","Ultimatum game (various versions)",1,0,0,0,0,0,0,0
"83","Unscramble words (anagrams)",0,1,1,0,0,0,0,0
"84","Viking",0,0,0,0,1,1,0,0
"85","Volunteer Investment Game",0,0,0,0,0,1,1,0
"86","Whac-A-Mole",0,0,1,0,0,0,0,1
"87","Wildcam Gorongosa (Zooniverse)",0,1,1,0,0,0,0,0
"88","Wildcat Wells",0,0,0,0,1,0,0,0
"89","Wolf, goat and cabbage transfer",1,0,1,0,0,0,0,0
"90","Word completion given part of word",0,1,1,0,0,0,0,0
"91","Word completion given starting letter",0,1,1,0,0,0,0,0
"92","Word construction from a subset of letters",0,1,1,0,0,0,0,0
"93","Writing story",0,1,1,0,0,0,0,0
