id,task_names,All_Columns,Shaw,McGrath,Zigurs,Steiner
9,Chicken,1,4,1,4,1
12,Dictator game and its variants,1,5,1,1,1
24,Iterated Snowdrift Game (aka Hawk-Dove game),1,5,4,2,1
31,Oligopoly game,1,2,1,3,1
42,Sequential dyadic die-rolling,1,2,1,2,4
49,The beer game,1,3,4,3,1
52,Ultimatum game (various versions),1,5,1,2,1
55,Volunteer Investment Game,1,4,1,4,1
56,Whac-A-Mole,1,3,4,1,1
1,9 Dot Problem,2,2,4,2,2
14,Estimating geological metrics,2,2,5,2,3
15,Estimating pages of a book,2,2,2,2,2
17,Find the maximum,2,2,5,1,2
18,"Forecasting and Estimation in Groups, with Confidence",2,4,5,1,2
21,Husbands and wives transfer,2,3,2,1,2
22,Image rating,2,2,2,1,2
25,Judgment of product and slogan,2,2,2,2,2
26,letters-to-numbers problems (cryptography),2,2,2,2,2
36,"Rank cities by population, rank words by familiarity",2,2,5,3,5
37,Ravens Matrices,2,2,5,1,3
38,Reading the mind in the eyes,2,2,2,1,2
45,Splitting a deck of cards,2,2,2,1,2
47,Sudoku,2,2,5,2,5
53,Unscramble words (anagrams),2,2,2,2,2
57,Wildcam Gorongosa (Zooniverse),2,2,5,1,2
59,"Wolf, goat and cabbage transfer",2,3,5,2,2
3,Aerospace Investment (Role-playing),3,3,3,4,5
6,Biopharm Seltek,3,2,3,3,4
7,Bullard Houses,3,3,3,3,3
13,Energetics Meets Generex,3,3,3,5,4
23,Investment game (hidden-profile),3,3,3,3,3
28,Minimal Group Paradigm (study diversity),3,3,3,3,3
30,New Recruit,3,5,3,3,4
32,pharmaceutical company (hidden-profile),3,3,3,3,3
46,"Strike Group Defender (developed by Metateq, Inc.)",3,3,5,3,4
51,TOPSIM - general mgmt business game,3,3,5,3,4
54,Viking,3,3,3,3,4
8,Categorization problem,4,4,5,4,3
10,Crisis mapping,4,3,3,2,5
16,Euclidean traveling salesperson,4,3,4,4,2
19,Game of Clue - Terrorist Attack,4,3,4,3,3
20,Graph coloring task,4,2,4,2,3
33,Putting food into categories,4,2,2,1,3
34,Railroad Route Construction game,4,1,4,2,1
35,Random dot motion,4,3,5,2,1
39,Recall word lists,4,2,2,1,1
40,Room assignment task,4,3,4,4,3
41,Run a mini business,4,2,5,4,5
44,Space Fortress,4,3,4,1,4
50,The N light bulbs game,4,3,2,2,5
58,Wildcat Wells,4,3,2,2,5
60,Word completion given part of word,4,2,2,1,5
2,Advertisement writing,5,5,5,5,5
4,Allocating resources to programs,5,5,3,5,3
5,Architectural design task,5,3,5,5,5
11,Desert survival,5,5,5,5,4
27,Manipulation (change object to goal state),5,5,5,4,5
29,Moral Reasoning (Disciplinary Action Case),5,5,3,5,3
43,Shopping plan,5,3,5,5,5
48,Summarize Discussion,5,5,3,3,5
61,Writing story,5,5,5,5,2
