task_names,planning,creativity,intellective,decision.making,cognitive.conflict,mixed.motive,contests,performances
"Strike Group Defender (developed by Metateq, Inc.)",0,1.4999999985,2.75,2.8333333305000004,4.8333333285,5,0.4999999995000002,-2.375
Sudoku,-2,1.6666666650000002,3,2.999999997,4.9999999950000005,5,0.3333333330000001,-1.5
Summarize Discussion,0,1.6666666650000002,5,0.3333333330000001,3.6666666630000004,1,-0.9999999990000001,-0.625
Target Search,-2,1.4999999985,2.75,2.8333333305000004,4.8333333285,5,0.4999999995000002,-1.375
The beer game,0.5,0.6666666660000001,1,1.333333332,3.3333333300000003,4,1.4999999984999999,-1.625
The Fish game,-2,0.333333333,1,1.6666666650000002,3.6666666630000004,5,1.6666666650000002,-0.5
The maximum of a function,-2,0.8333333325000001,1.75,2.1666666645,4.166666662500001,5,1.1666666655000002,-0.875
The N light bulbs game,-2,0.666666666,1.5,1.999999998,3.9999999960000006,5,1.3333333320000003,-0.75
To evacuate or not to evacuate,0,0.8333333325000001,1.75,2.1666666645,4.166666662500001,5,1.1666666655000002,-1.375
TOPSIM - general mgmt business game,0,1.6666666650000002,3,2.999999997,4.9999999950000005,5,0.49999999949999996,-2.125
Trivia Multiple Choice Quiz,0,2.999999997,3,1.6666666650000002,3.6666666630000004,1,0.3333333330000001,-2
Ultimatum game (various versions),0,0.333333333,1,0.333333333,2.3333333310000004,1,0.999999999,-0.5
Unscramble words (anagrams),-2,0.333333333,3,0.333333333,3.6666666630000004,5,1.6666666650000002,-0.5
Viking,-2,1.6666666650000002,3,2.999999997,4.9999999950000005,5,1.333333332,-1.25
Volunteer Investment Game,1,-0.333333333,1,0.999999999,2.999999997,3,1.9999999979999998,-2.25
Whac-A-Mole,0,0.333333333,1,1.6666666650000002,2.999999997,5,1.6666666650000002,-1.5
Wildcam Gorongosa (Zooniverse),0,1.6666666650000002,5,1.6666666650000002,4.9999999950000005,5,0.3333333330000001,-2.5
Wildcat Wells,-2,0.999999999,4,0.999999999,4.333333329,5,1.6666666650000002,-1.5
"Wolf, goat and cabbage transfer",-2,0.999999999,2,2.333333331,4.333333329,5,0.9999999990000003,-0.5
Word completion given part of word,-2,0.8333333325000001,3.75,0.8333333325000001,4.166666662500001,5,1.1666666655000002,-0.875
Word completion given starting letter,-1,0.9999999990000001,3,-0.3333333330000001,2.999999997,3,0.999999999,-0.5
Word construction from a subset of letters,-2,0.333333333,3,0.333333333,3.6666666630000004,5,1.6666666650000002,-0.5
Writing story,0,2.999999997,3,1.6666666650000002,3.6666666630000004,1,-0.9999999990000001,-1.5
