task_names,solution_demonstrability
9 Dot Problem,5
Abstract grid task,5
Advertisement writing,1
Aerospace Investment (Role-playing),5
Allocating resources to programs,1
Architectural design task,1
Battle of the sexes,5
Best job candidate (hidden-profile),5
Biopharm Seltek,5
Blocks World for Teams,5
Bullard Houses,5
Carter Racing,5
Categorization problem,5
Checkers,5
Cheering and Clapping,1
Chicken,5
Crisis mapping,5
Desert survival,1
Dictator game and its variants,5
Divergent Association Task,4
Energetics Meets Generex,5
Estimating geological metrics,5
Estimating pages of a book,5
Euclidean traveling salesperson,5
Find the maximum,5
"Forecasting and Estimation in Groups, with Confidence",5
Game of Clue - Terrorist Attack,5
Graph coloring task,5
Guessing numbers,5
Hidden figures in a picture,5
Husbands and wives transfer,5
Image rating,5
Intergroup Prisoner's Dilemma,5
Intergroup Prisoner's Dilemma-Maximizing Difference,1
Investment game (hidden-profile),5
Iterated Snowdrift Game (aka Hawk-Dove game),1
Iterative lemonade stand task,1
Judgment of product and slogan,1
letters-to-numbers problems (cryptography),5
Logic Problem,5
Manipulation (change object to goal state),1
Mastermind,5
Minimal Group Paradigm (study diversity),5
Minimum-effort tacit coordination game,5
Mock jury,4
Moral Reasoning (Disciplinary Action Case),1
New Recruit,1
Oligopoly game,5
Organization Game,1
pharmaceutical company (hidden-profile),5
Public goods game,4
Putting food into categories,5
Radio assembly task,5
Railroad Route Construction game,5
Random dot motion,5
"Rank cities by population, rank words by familiarity",5
Ravens Matrices,5
Reading the mind in the eyes,5
Recall association,1
Recall images,5
Recall stories,5
Recall videos,5
Recall word lists,5
Room assignment task,5
Run a mini business,5
Search for Oil Task,4
Sequential dyadic die-rolling,0
Shopping plan,1
Space Fortress,5
Splitting a deck of cards,5
"Strike Group Defender (developed by Metateq, Inc.)",5
Sudoku,5
Summarize Discussion,1
Target Search,5
The beer game,5
The Fish game,5
The maximum of a function,5
The N light bulbs game,5
To evacuate or not to evacuate,5
TOPSIM - general mgmt business game,5
Trivia Multiple Choice Quiz,1
Ultimatum game (various versions),1
Unscramble words (anagrams),5
Viking,5
Volunteer Investment Game,3
Whac-A-Mole,5
Wildcam Gorongosa (Zooniverse),5
Wildcat Wells,5
"Wolf, goat and cabbage transfer",5
Word completion given part of word,1
Word completion given starting letter,5
Word construction from a subset of letters,5
Writing story,1
