_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
6mAfdWS6u2wsrL7pB,1,complete,false,,,cancelled,,"5qEkJ7RQWBFWCYPq2,v9gRv72aN8ah7q2Ga,wmrZDKQFvK7wKSP2Q",2024-04-25T18:13:05Z,2024-04-25T18:32:41Z
h2dXgrCajPx3FYCWs,2,complete,true,2024-04-25T18:33:02Z,2024-04-25T19:41:52Z,finished,,"2NBtcGKuvN5Hff8ep,qbsLZCPJE8LEAKtfL,2MBQEZRurhmbLsn5f",2024-04-25T18:32:57Z,
fRZWs7rFZdJFPt2sv,3,complete,true,2024-04-25T18:33:03Z,2024-04-25T19:43:57Z,finished,,"2dWrbaed8XqyvB6i7,sKnRr9dR4SEQP4c9F,4NNivRFCpqScA3pGp",2024-04-25T18:32:59Z,
naj9JzcFEGRMKq7g4,4,complete,true,2024-04-25T18:33:04Z,2024-04-25T19:45:43Z,finished,,"xqvghKquCCZKonhaf,7TxuM2zajt4mhEXRY,jiESPuXiHE2cW7YbH",2024-04-25T18:33:00Z,
4rfztmzHbXQRAwPPB,5,complete,true,2024-04-25T19:47:47Z,2024-04-25T20:55:26Z,finished,,"czTndjzxbvstNiP3S,fvwRCRGCwtTBfAN3w,FXGMJLKLjyTfM34rH",2024-04-25T19:44:00Z,
z3QqewSMqWmQYWR78,6,complete,true,2024-04-26T13:01:16Z,2024-04-26T14:12:20Z,finished,,"yG97gwShLvYjrQe4f,DJ2iaeTJiLphqiM6Y,SxGibfRoXMcfRpgXF",2024-04-25T19:44:29Z,
yLRjWuFkNWEq3DbP4,7,complete,true,2024-04-26T14:34:56Z,2024-04-26T15:37:37Z,finished,,"QXbYn5eDpj5SHt72n,rAiyJn5RMZHMQzBsn,4cngqMgLyByZNxCXy",2024-04-25T19:44:52Z,
hk_54e9a64573531e43,8,complete,true,2024-04-25T19:47:54Z,2024-04-25T20:33:48Z,finished,,"H98kaBiMFyLpsJkMS,SGfCSq52LiT9r2Akx,ba5XzG5RFr2FXAuWw",2024-04-25T19:47:48Z,
K38NNAEjokniidNdW,9,complete,false,2024-04-25T19:47:56Z,,cancelled,,"xwZMmGmgKpEM9vogg,JzoA75bD8W3jiQmpe,TfrvLHMtKKbY2yyzk",2024-04-25T19:47:52Z,
eGAsoLPH9fP9ymb3i,10,complete,true,2024-04-26T13:01:17Z,2024-04-26T14:17:12Z,finished,,"XgFuRWFiLFK5yw5kp,Dkottt8cS3JRainQE,9Y9NdvTyN7wZW9wQ2",2024-04-26T12:22:19Z,
GPhfyLXpE6Hd35K8C,11,complete,true,2024-04-26T13:01:19Z,2024-04-26T14:22:38Z,finished,,"pRY3qpZL3Mfn226wg,87PMuZK6xi8rs8BTr,pENajYLsQ4aaMJyRv",2024-04-26T12:22:21Z,
fRMLSqFRm5ZAwursk,12,complete,true,2024-04-26T13:01:21Z,,cancelled,,"hk_4e27fe7cb4315aa5,m7oshCFaERWhZqvst,pcZqDMMDitozaDgY4",2024-04-26T12:22:24Z,
cGYYZTm6NeAtsnXqG,13,complete,true,2024-04-26T14:34:57Z,2024-04-26T15:41:09Z,finished,,"Qf9KoPomsmMWLfeFQ,SCwwxS4CyaJj5uJQX,ZTQ68Dnmkbh2PjvsF",2024-04-26T14:33:39Z,
yr4NBh6EG9aPHFepe,14,complete,true,2024-04-26T14:34:58Z,2024-04-26T15:45:28Z,finished,,"yEcvrzXuo37cJSFst,bJJqZadr6ku8CQWjr,82FRAooEgZx9xfeaA",2024-04-26T14:33:40Z,
zPapTv7nCn8uB9Ecj,15,complete,true,2024-04-26T14:34:59Z,2024-04-26T15:29:47Z,finished,,"dCWNTiHNCmbJ7NoQB,2BPYphmk2x2GgcibC,ojYFEyD7rBPDq3mqG",2024-04-26T14:33:42Z,
C5qtXgNReNZiWmdkz,16,complete,true,2024-04-26T16:04:31Z,2024-04-26T17:05:08Z,finished,,"YoXqTcxKioXDy6sKi,JzeicCK3puZLrygnx,3QDAeYja9u2yu2wtJ",2024-04-26T15:48:30Z,
jkmEQ5WynaHTaWdFG,17,complete,true,2024-04-26T16:04:32Z,2024-04-26T17:13:49Z,finished,,"6uSkQ9j7aDyQuYYiR,7nw5eZeQEZh6w2y3w,5nYr64YMFhM8EJuLK",2024-04-26T15:48:33Z,
BeWZABfvDccjmnXMG,18,complete,true,2024-04-26T16:04:33Z,2024-04-26T17:22:37Z,finished,,"i9g4YLxM3zuxGuQkM,H8dQxtQgTpw427RjT,yMATR9YPPPJPhud2H",2024-04-26T15:48:34Z,
kEbzmFdFKSB68h6NQ,19,complete,false,2024-04-26T16:04:34Z,,cancelled,,"hk_00cb54d1ad273a49,NDCyCGQQdfudLMCQy,QZq2gJKRyEJxhtXLa",2024-04-26T15:48:35Z,
TsgRegrp6JvothYXw,20,complete,true,2024-04-26T17:24:36Z,2024-04-26T18:27:12Z,finished,,"sbHP54tSMnvwJ2Jtf,BgyxxmF7WtxZSbDtX,iRERt6TSvvMJzX8Az",2024-04-26T17:01:50Z,
zEtXeDCGrvK9DSywn,21,complete,true,2024-04-26T17:24:37Z,2024-04-26T18:33:51Z,finished,,"CGR5XCF8sPwc9AmfF,jPoeZe9jw3FBFxbkj,JB3ExMvJDFgNprtAt",2024-04-26T17:01:53Z,
vPbzp8M4A5WwKF94G,22,complete,true,2024-04-26T17:24:38Z,2024-04-26T18:34:12Z,finished,,"Gac4qCcS67Huc7BMF,ykmGbDdsXHA3DRWam,M9qsEkhfhPezmhiEr",2024-04-26T17:01:55Z,
hk_6380d476edabdec9,23,complete,true,2024-04-26T17:24:40Z,2024-04-26T18:20:42Z,finished,,"6C3bEt8Zg2KYGsxnj,j9d9ZeFoWtmbJFoWQ,2su5NHdWC8SiQ6Gss",2024-04-26T17:01:57Z,
tgQTLRg294fCoesEi,24,complete,true,2024-04-26T18:38:05Z,2024-04-26T19:42:12Z,finished,,"qMcbiDbkEzCCbPHAw,yiWDDzqGKt7nKvTkZ,Dw3NhgBJ4wwYALviX",2024-04-26T18:30:13Z,
qPBPmFwE4kDmEdDJY,25,complete,true,2024-04-26T18:38:06Z,2024-04-26T19:44:06Z,finished,,"6iuw8p53fAYKk3ZQL,yANnCiDFoHErMTnqu,oKtxZ52e6j5zGgYnA",2024-04-26T18:30:21Z,
sT5SNdgvmYWmDjHTz,26,complete,true,2024-04-26T18:38:06Z,2024-04-26T19:45:02Z,finished,,"vpn7G8tFdpipC3WSA,Pw2hk2votRsKwDd9k,XbRc5TSpXENfLpysi",2024-04-26T18:30:23Z,
cNsNwqbMpo9ajwebH,27,complete,true,2024-04-26T18:38:07Z,2024-04-26T19:58:11Z,finished,,"T9wyziT3iMMkzGBdH,EHuNWHp4bt8Sj4ZAS,Y37sf7upPhr5aeKiZ",2024-04-26T18:30:24Z,
vuaYHxZEnEvdZ4oNG,28,complete,true,2024-04-26T20:04:31Z,2024-04-26T21:08:08Z,finished,,"csh8iSWdiajKY2QAw,y6r7Pc4eopBfR6Zvt,ChpFh4KPEFWiwQ8Hw",2024-04-26T20:04:26Z,
QhWNbEovfndeu9Jpw,29,complete,true,2024-04-26T20:04:32Z,2024-04-26T21:17:07Z,finished,,"3b5D99YMppKYftSux,zGE9BYSNdM2vg6yPK,hvjicLRP9dWGzoa64",2024-04-26T20:04:27Z,
QWnGDvjkzPg5md2bf,30,complete,true,2024-04-26T20:04:32Z,2024-04-26T21:18:24Z,finished,,"oafbPZQRiAtLS2trH,FMaZ9DCT23ctnPh3L,bJnDEEyfuJ7o6r58v",2024-04-26T20:04:29Z,
kKGjZjnrBqCyjttSe,31,complete,true,2024-04-26T20:04:33Z,2024-04-26T21:09:27Z,finished,,"fiQfaCL3wmyRpCDE6,kFudXuEKQ5bosJayC,bbiYMQYQaKQyGZcN5",2024-04-26T20:04:30Z,
pPgKWbTyLk4xTrhWL,32,complete,true,2024-04-29T13:29:04Z,2024-04-29T14:29:18Z,finished,,"n7DdczRhT7u3KFFWp,8z5t3y9x4Sv7yyyeb,J6wrY4z9PXX3zETqL",2024-04-29T13:26:58Z,
5eFaTTbrsQakNPrQR,33,complete,true,2024-04-29T13:29:05Z,2024-04-29T14:46:45Z,finished,,"Du8H49r5hpSNBCbwc,RjSySPoiCfrohM9oM,dCr4NkDknZ5Sek3r7",2024-04-29T13:27:00Z,
TexRw788Z9t6QmQv4,34,complete,true,2024-04-29T13:29:06Z,2024-04-29T14:57:02Z,finished,,"3i3soDCbRzEHu3QsH,Daupp8aLzAizmF3xQ,kGTPKxD5KMyHvk8nr",2024-04-29T13:27:01Z,
bxBtGvQAqs3C428WE,35,complete,true,2024-04-29T15:13:58Z,2024-04-29T16:11:28Z,finished,,"kQhKiDM4924dKTAjq,GBqquZde8nsYpckGk,4iycdqAnLi5mtDpeL",2024-04-29T14:59:21Z,
8EFTmu2CEdx9hFgcc,36,complete,true,2024-04-29T15:14:01Z,2024-04-29T16:18:34Z,finished,,"KePvxMxHnSnuaZ7Se,nkZRoD85kNoQAsG5f,xCYkhtmHMFK4rdmzZ",2024-04-29T14:59:23Z,
9qo8yTNeuKpyhqfvN,37,complete,true,2024-04-29T15:14:02Z,2024-04-29T16:14:39Z,finished,,"gC8zaDtvM77f42fE8,CZLS3DHTMWjTAqNpS,H6MErQ6rWM2TZesK9",2024-04-29T14:59:24Z,
hk_d9421f67bb30066e,38,complete,false,2024-04-29T15:14:03Z,,cancelled,,"KsGRSXQ8jhTtxGLam,nu5rKaKob2waciFzJ,RpoZmkMbJ8hTuFau7",2024-04-29T14:59:25Z,
duWWj4BSqZKa3bJar,39,complete,true,2024-04-29T16:35:06Z,2024-04-29T17:44:18Z,finished,,"KJNYSaEQWCifXnucx,n5wPjQhNiANWS655y,vcjqQEn4jFWaoDi3X",2024-04-29T16:34:58Z,
