_id,index,availableCount,timeoutStartedAt,timedOutAt,queuedPlayerIds,playerIds,gameId,treatmentId,batchId,lobbyConfigId,createdAt
5qEkJ7RQWBFWCYPq2,0,6,,,,,,bTwT8vTEXL8dyLLdf,6mAfdWS6u2wsrL7pB,mvuvXfAzAmeyZ376N,2024-04-25T18:13:06Z
v9gRv72aN8ah7q2Ga,1,1,,,,,,FALzYuDWpbg5NeiYx,6mAfdWS6u2wsrL7pB,mvuvXfAzAmeyZ376N,2024-04-25T18:13:06Z
wmrZDKQFvK7wKSP2Q,2,3,,,,,,pB6N9LuAiAJAB4dKm,6mAfdWS6u2wsrL7pB,mvuvXfAzAmeyZ376N,2024-04-25T18:13:06Z
2NBtcGKuvN5Hff8ep,0,1,,,L8LLBEXDNZW7xafX3,L8LLBEXDNZW7xafX3,2NBtcGKuvN5Hff8ep,FALzYuDWpbg5NeiYx,h2dXgrCajPx3FYCWs,fTHQA2MxkSNk8jKkZ,2024-04-25T18:32:57Z
qbsLZCPJE8LEAKtfL,1,3,2024-04-25T18:37:05Z,,"bbTLoWQcLarwFiWmG,turhjKzSJxgMtwxFx,7Er7PfRwRM55FSSA7,TgXQEY6snDg5mJqhg","bbTLoWQcLarwFiWmG,7Er7PfRwRM55FSSA7,turhjKzSJxgMtwxFx",qbsLZCPJE8LEAKtfL,pB6N9LuAiAJAB4dKm,h2dXgrCajPx3FYCWs,fTHQA2MxkSNk8jKkZ,2024-04-25T18:32:57Z
2MBQEZRurhmbLsn5f,2,6,2024-04-25T18:37:00Z,,"CmvtEyFEpEbu44vRa,hyRBfZoB7uk5QTTbL,Kwq3vczHatBDvouqY,3yYWrr3C5rsgMR59S,brK8W4hACWFCpBp4m,M3scxsbyGFpjBisXp,3aPnGNZCyrLDepZm3,h77peHcqhQpcDaKSo,fNwndTGyZYK97FWkf,22p3CdYXxMedNrLtw,kJpWksEdYbtNSmW4B","Kwq3vczHatBDvouqY,3yYWrr3C5rsgMR59S,brK8W4hACWFCpBp4m,3aPnGNZCyrLDepZm3,h77peHcqhQpcDaKSo,fNwndTGyZYK97FWkf",2MBQEZRurhmbLsn5f,bTwT8vTEXL8dyLLdf,h2dXgrCajPx3FYCWs,fTHQA2MxkSNk8jKkZ,2024-04-25T18:32:57Z
2dWrbaed8XqyvB6i7,0,1,,,"DNWMABcP6SeXeaa6S,3rnDziGokNwxBXdES",3rnDziGokNwxBXdES,2dWrbaed8XqyvB6i7,FALzYuDWpbg5NeiYx,fRZWs7rFZdJFPt2sv,fTHQA2MxkSNk8jKkZ,2024-04-25T18:32:59Z
sKnRr9dR4SEQP4c9F,1,6,2024-04-25T18:42:40Z,,"CmvtEyFEpEbu44vRa,hyRBfZoB7uk5QTTbL,M3scxsbyGFpjBisXp,22p3CdYXxMedNrLtw,kJpWksEdYbtNSmW4B,q3THB89a5eyhu9599,kHZmjCCHG6NNnW3ui,Mb3pyHom3NemRjARR,X47NvuzB3DRrXabrk,DbRTKRQHM4MDNSs36","22p3CdYXxMedNrLtw,kJpWksEdYbtNSmW4B,q3THB89a5eyhu9599,kHZmjCCHG6NNnW3ui,Mb3pyHom3NemRjARR,X47NvuzB3DRrXabrk",sKnRr9dR4SEQP4c9F,bTwT8vTEXL8dyLLdf,fRZWs7rFZdJFPt2sv,fTHQA2MxkSNk8jKkZ,2024-04-25T18:32:59Z
4NNivRFCpqScA3pGp,2,3,2024-04-25T18:41:27Z,,"TgXQEY6snDg5mJqhg,bMkDEhn2LSNMbMzJW,RmnPuu66dZEwv26oS,sSnWvewwtyaLaXB45","TgXQEY6snDg5mJqhg,bMkDEhn2LSNMbMzJW,RmnPuu66dZEwv26oS",4NNivRFCpqScA3pGp,pB6N9LuAiAJAB4dKm,fRZWs7rFZdJFPt2sv,fTHQA2MxkSNk8jKkZ,2024-04-25T18:32:59Z
xqvghKquCCZKonhaf,0,3,2024-04-25T18:45:04Z,,"sSnWvewwtyaLaXB45,Wmh4wZoGricg27kcM,56LytjmnuaGktczcE","sSnWvewwtyaLaXB45,Wmh4wZoGricg27kcM,56LytjmnuaGktczcE",xqvghKquCCZKonhaf,pB6N9LuAiAJAB4dKm,naj9JzcFEGRMKq7g4,fTHQA2MxkSNk8jKkZ,2024-04-25T18:33:00Z
7TxuM2zajt4mhEXRY,1,1,,,DNWMABcP6SeXeaa6S,DNWMABcP6SeXeaa6S,7TxuM2zajt4mhEXRY,FALzYuDWpbg5NeiYx,naj9JzcFEGRMKq7g4,fTHQA2MxkSNk8jKkZ,2024-04-25T18:33:00Z
jiESPuXiHE2cW7YbH,2,6,2024-04-25T18:48:39Z,2024-04-25T18:58:39Z,"CmvtEyFEpEbu44vRa,hyRBfZoB7uk5QTTbL,M3scxsbyGFpjBisXp,DbRTKRQHM4MDNSs36,xohRTRJhPtDHCRwiq,xiQuHkXfrKrMEPAQC","M3scxsbyGFpjBisXp,DbRTKRQHM4MDNSs36,xiQuHkXfrKrMEPAQC,xohRTRJhPtDHCRwiq",,bTwT8vTEXL8dyLLdf,naj9JzcFEGRMKq7g4,fTHQA2MxkSNk8jKkZ,2024-04-25T18:33:00Z
czTndjzxbvstNiP3S,0,1,,,bWgCjiPKL9X8yktGK,bWgCjiPKL9X8yktGK,czTndjzxbvstNiP3S,HmHFGRK3wX6LENS8j,4rfztmzHbXQRAwPPB,fTHQA2MxkSNk8jKkZ,2024-04-25T19:44:00Z
fvwRCRGCwtTBfAN3w,1,6,2024-04-25T19:48:55Z,2024-04-25T19:58:55Z,"rm4PrYaEQ3grTqGSY,y8HG3QMWstSENnFTZ,2TcoTNvpgMFHjKyqG,Xn2vYvqQB94xJrzTS,z6YrBwTsGCZuF6ztR,7D7hNgDMxZrFufNyj,cdZ9cR2xDGhcvQdps","rm4PrYaEQ3grTqGSY,y8HG3QMWstSENnFTZ,2TcoTNvpgMFHjKyqG,z6YrBwTsGCZuF6ztR,cdZ9cR2xDGhcvQdps",,NPJ92ojHqBwWuQWS7,4rfztmzHbXQRAwPPB,fTHQA2MxkSNk8jKkZ,2024-04-25T19:44:00Z
