_id,name,value,factorTypeId,createdAt
oRB3mR7qALgh3DNZH,true,true,yaKsaf9dZ4PFdoMmq,2024-01-31T17:05:20Z
G9qyiwD6DAYgpk6PK,false,false,yaKsaf9dZ4PFdoMmq,2024-01-31T17:05:20Z
PfNTDgN5nzjb6fJgY,true,true,grQBWBiMrGHmC7gt3,2024-01-31T17:05:20Z
hk_43af08695d27a4a2,false,false,grQBWBiMrGHmC7gt3,2024-01-31T17:05:20Z
sxrrgxMbsTwtQCLSy,true,true,eqaQyjMTgG4i2CbyM,2024-01-31T17:05:21Z
wiEDPCuNZf4Q3pWr6,false,false,eqaQyjMTgG4i2CbyM,2024-01-31T17:05:21Z
jLHv552qPca3k6JSn,true,true,7MD9A7yvE3rw2QRwH,2024-01-31T17:05:21Z
mc4HKu6Pr2fEaox4a,false,false,7MD9A7yvE3rw2QRwH,2024-01-31T17:05:21Z
hk_002c1c5f4c124c4d,true,true,ivqhL4H96THc5aNuM,2024-01-31T17:05:21Z
Px5H3gHehdytTGjiX,false,false,ivqhL4H96THc5aNuM,2024-01-31T17:05:21Z
r76qtCqBLahxs6hSk,true,true,LYKHiLhoi6kuC6obL,2024-01-31T17:05:21Z
KCccuNDAdig3fqLL3,false,false,LYKHiLhoi6kuC6obL,2024-01-31T17:05:21Z
jXr5ZLctJgsTbsi9B,single,1,fb224vy3rnmtmS6rw,2024-01-31T17:05:21Z
XBAtfweTe8eHAdhPA,double,2,fb224vy3rnmtmS6rw,2024-01-31T17:05:21Z
22zXf9tr6X2bFR954,triple,3,fb224vy3rnmtmS6rw,2024-01-31T17:05:21Z
vhi8DcLi6JC3Z4AmT,six,6,fb224vy3rnmtmS6rw,2024-01-31T17:05:21Z
xDu7NN2vB5YaZhAHH,ten,10,fb224vy3rnmtmS6rw,2024-01-31T17:05:21Z
6ZjfKLF6SbbdjEkTq,one_min,60,nckkeNMafK6L7Nzzn,2024-01-31T17:05:21Z
pJmctQkDCvnSBK3Wj,five_mins,300,nckkeNMafK6L7Nzzn,2024-01-31T17:05:21Z
78NBWmXNk3oM2wDiz,two_mins,120,MCgCiD7rDeJGXNa6c,2024-01-31T17:05:21Z
RSDZmCux7CeKbQozZ,two_mins,120,HMKzxgogMMFEY4pAk,2024-01-31T17:05:21Z
TBLxkCXgAteXXjLJY,complete,-1,DxxDhAhotmTRRWvTz,2024-01-31T17:05:21Z
nHj5rCAu3RJ9e3Amc,all,-1,jgdC24YxBmBWbMiMu,2024-01-31T17:05:21Z
DNaLQEzNDQGHeNvHQ,one,1,koZQJNPGxwtTgX2pH,2024-01-31T17:05:21Z
LbnKEh9ieYuomWm3y,five,5,koZQJNPGxwtTgX2pH,2024-01-31T17:05:21Z
XXm6mXiWNygse3Lnc,one,1,mKiToMczzZeN6v3aX,2024-01-31T17:05:21Z
QzFuHjANT97WR4mu2,five,5,mKiToMczzZeN6v3aX,2024-01-31T17:05:21Z
Q5jfRizbr4NLPbJoR,two,2,4aHTu3g8Fgke53LgC,2024-01-31T17:05:21Z
42kqsXhQdCdZAHfAT,1,1,aesa2wTqiAj6huZWu,2024-01-31T17:05:21Z
2CvteN7NFtEdcsXgW,zero,0,473BeGxhFWS78Si9o,2024-01-31T17:05:21Z
xYoRk27DDFZS25wnh,one,1,473BeGxhFWS78Si9o,2024-01-31T17:05:21Z
NhtENMJgzP52MstwX,2,2,aesa2wTqiAj6huZWu,2024-01-31T17:05:21Z
RFS6JW8n9xPSiJ8b7,3,3,aesa2wTqiAj6huZWu,2024-01-31T17:05:21Z
sHH2TJK29g2deqQNf,4,4,aesa2wTqiAj6huZWu,2024-01-31T17:05:21Z
Q5E65KMuYtZ7fRkXx,5,5,aesa2wTqiAj6huZWu,2024-01-31T17:05:21Z
GYYJdbxJnzELZ8CD8,one,1,4aHTu3g8Fgke53LgC,2024-01-31T17:06:53Z
