_id,batchId,playerId,stageId,roundId,gameId,createdAt,submittedAt,data.maxPossiblePay,data.payEarned,data.correct,data.directionsCompleted,data.showOverview,data.score,data.clicked,data.approved,data.stepApproved,data.audioError,data.scoreArr,data.scoreFeedback,data.hoveredGrid
hk_d4c2f03c7de5d287,cjpZ42qGmXR7mTEBB,46fPmCMMnRA9FaESf,GLsWms4mD4WwPcozw,gwTcJCbn3yfzarR79,Rdmb3Qqx5WYpYdATq,2024-04-19T15:40:58Z,2024-04-19T15:42:40Z,0.5,0.5,true,true,true,,,,,,,,
BrbSZJFyfwEtvdNK8,cjpZ42qGmXR7mTEBB,P9AN74TomPcqr7TpQ,GLsWms4mD4WwPcozw,gwTcJCbn3yfzarR79,Rdmb3Qqx5WYpYdATq,2024-04-19T15:40:58Z,2024-04-19T15:42:40Z,0.5,0.5,false,false,true,,,,,,,,
wwASaijjNNr45nWX7,cjpZ42qGmXR7mTEBB,rZ2C2xn7Xw22NYa28,GLsWms4mD4WwPcozw,gwTcJCbn3yfzarR79,Rdmb3Qqx5WYpYdATq,2024-04-19T15:40:58Z,2024-04-19T15:41:46Z,0.5,0.5,true,true,true,,,,,,,,
jiD8L4KhsRp3Mus2s,cjpZ42qGmXR7mTEBB,46fPmCMMnRA9FaESf,7xFtg4cMC2Mo3NoEf,gwTcJCbn3yfzarR79,Rdmb3Qqx5WYpYdATq,2024-04-19T15:40:58Z,,,,,,,0,,,,,,,
XQQMw3onnwbRis2J7,cjpZ42qGmXR7mTEBB,P9AN74TomPcqr7TpQ,7xFtg4cMC2Mo3NoEf,gwTcJCbn3yfzarR79,Rdmb3Qqx5WYpYdATq,2024-04-19T15:40:58Z,,,,,,,0,,,,,,,
GDpfBvtF7up77zjFC,cjpZ42qGmXR7mTEBB,rZ2C2xn7Xw22NYa28,7xFtg4cMC2Mo3NoEf,gwTcJCbn3yfzarR79,Rdmb3Qqx5WYpYdATq,2024-04-19T15:40:58Z,,,,,,,0,Rdmb3Qqx5WYpYdATq-Typing_Practice-0,,,,,,
f3LcaNZvbZj6XgvQw,cjpZ42qGmXR7mTEBB,46fPmCMMnRA9FaESf,XzSY8qtoA34etmrSC,gwTcJCbn3yfzarR79,Rdmb3Qqx5WYpYdATq,2024-04-19T15:40:58Z,,,,,,,,,,,,,,
dYjj8Mwn4fm7PbXvz,cjpZ42qGmXR7mTEBB,P9AN74TomPcqr7TpQ,XzSY8qtoA34etmrSC,gwTcJCbn3yfzarR79,Rdmb3Qqx5WYpYdATq,2024-04-19T15:40:58Z,,,,,,,,,,,,,,
j5QEKzxNmFXwwuXwB,cjpZ42qGmXR7mTEBB,rZ2C2xn7Xw22NYa28,XzSY8qtoA34etmrSC,gwTcJCbn3yfzarR79,Rdmb3Qqx5WYpYdATq,2024-04-19T15:40:58Z,,,,,,,,,,,,,,
6cNxYt8FbYqt6fpaP,cjpZ42qGmXR7mTEBB,46fPmCMMnRA9FaESf,8rJdNtcQ6jm4sGgiv,gwTcJCbn3yfzarR79,Rdmb3Qqx5WYpYdATq,2024-04-19T15:40:58Z,,,,,,,,,,,,,,
8swwBDByL5NNQSHqk,cjpZ42qGmXR7mTEBB,P9AN74TomPcqr7TpQ,8rJdNtcQ6jm4sGgiv,gwTcJCbn3yfzarR79,Rdmb3Qqx5WYpYdATq,2024-04-19T15:40:58Z,,,,,,,,,,,,,,
