_id,index,availableCount,timeoutStartedAt,timedOutAt,queuedPlayerIds,playerIds,gameId,treatmentId,batchId,lobbyConfigId,createdAt
rzbH3gpi7gf8YTpSH,0,1,,,"v8PruYu79yoATPJ2d,FXxb6RtoFP77mBmKX,DTGHsnPh5goijv8YJ,aN8onKyNdmnB38uNR,jT9KvGzCHhdtLLE9k,KeartFamKHLvNwz2E",FXxb6RtoFP77mBmKX,rzbH3gpi7gf8YTpSH,FALzYuDWpbg5NeiYx,cjpZ42qGmXR7mTEBB,mvuvXfAzAmeyZ376N,2024-04-08T18:00:40Z
Rdmb3Qqx5WYpYdATq,1,3,2024-04-19T15:34:51Z,,"Y8Tj989s7iNsynSvL,rZ2C2xn7Xw22NYa28,P9AN74TomPcqr7TpQ,46fPmCMMnRA9FaESf","rZ2C2xn7Xw22NYa28,P9AN74TomPcqr7TpQ,46fPmCMMnRA9FaESf",Rdmb3Qqx5WYpYdATq,pB6N9LuAiAJAB4dKm,cjpZ42qGmXR7mTEBB,mvuvXfAzAmeyZ376N,2024-04-08T18:00:40Z
ZtqiBB93D2hyaSFiY,2,6,2024-04-19T15:34:43Z,,"8kp5bbG4yfuyHoEaR,FBYSBwEB6RQx8uEXr,EM3KCwwSbJEE6bAYF,cCya54rn5D6Pf3pCK,b7mf7gfTuCkqsXcte,LyzWSyWP5SjiGs6YC,L5sq8nk4nQ4QmxXAp,woysZd45AGDcJupcb,QvoD9PPLPajmhNc6B,Y5RMRqyxMkafXyjpD,MMm7ZzNgXL9tCaNwK,triJ66K9CHsHfntfv,xew7cZDJhCyrBXG3X,ceEqydeqNECW4pBLp,RnSjYiCs2fnjT33BG,NPGeubEkpdrabABpE","EM3KCwwSbJEE6bAYF,b7mf7gfTuCkqsXcte,L5sq8nk4nQ4QmxXAp,8kp5bbG4yfuyHoEaR,woysZd45AGDcJupcb,ceEqydeqNECW4pBLp",ZtqiBB93D2hyaSFiY,bTwT8vTEXL8dyLLdf,cjpZ42qGmXR7mTEBB,mvuvXfAzAmeyZ376N,2024-04-08T18:00:40Z
fdexB3xArQ6WpoMz3,0,6,2024-04-19T15:43:14Z,,"FBYSBwEB6RQx8uEXr,cCya54rn5D6Pf3pCK,LyzWSyWP5SjiGs6YC,QvoD9PPLPajmhNc6B,Y5RMRqyxMkafXyjpD,MMm7ZzNgXL9tCaNwK,triJ66K9CHsHfntfv,xew7cZDJhCyrBXG3X,RnSjYiCs2fnjT33BG,NPGeubEkpdrabABpE","RnSjYiCs2fnjT33BG,QvoD9PPLPajmhNc6B,MMm7ZzNgXL9tCaNwK,xew7cZDJhCyrBXG3X,triJ66K9CHsHfntfv,Y5RMRqyxMkafXyjpD",fdexB3xArQ6WpoMz3,bTwT8vTEXL8dyLLdf,E69YyA3NBTXGufoNx,mvuvXfAzAmeyZ376N,2024-04-08T18:01:52Z
RSYYRR3vKjNBE6qua,1,1,,,"v8PruYu79yoATPJ2d,DTGHsnPh5goijv8YJ,aN8onKyNdmnB38uNR,jT9KvGzCHhdtLLE9k,KeartFamKHLvNwz2E",jT9KvGzCHhdtLLE9k,RSYYRR3vKjNBE6qua,FALzYuDWpbg5NeiYx,E69YyA3NBTXGufoNx,mvuvXfAzAmeyZ376N,2024-04-08T18:01:52Z
L6vwDwAMH3CGBq78e,2,3,2024-04-19T15:46:58Z,,"Y8Tj989s7iNsynSvL,jn4bYAJu3zfmP5cZ2,iw949eGoC5dvn6MqT,SJYdpdFw6v3i9t3Mj,PEzbXmh7fLR5x8xYL","jn4bYAJu3zfmP5cZ2,SJYdpdFw6v3i9t3Mj,iw949eGoC5dvn6MqT",L6vwDwAMH3CGBq78e,pB6N9LuAiAJAB4dKm,E69YyA3NBTXGufoNx,mvuvXfAzAmeyZ376N,2024-04-08T18:01:52Z
F9X33fDBibbC8e8WL,0,1,,,"v8PruYu79yoATPJ2d,DTGHsnPh5goijv8YJ,aN8onKyNdmnB38uNR,KeartFamKHLvNwz2E",KeartFamKHLvNwz2E,F9X33fDBibbC8e8WL,FALzYuDWpbg5NeiYx,tDZyL4yPBDaaRLgJh,mvuvXfAzAmeyZ376N,2024-04-19T15:32:05Z
se8rimxodKaAxBDn6,1,3,2024-04-19T15:51:12Z,,"Y8Tj989s7iNsynSvL,PEzbXmh7fLR5x8xYL,xAjgzmeHmZNtMvLHz,R6Qo2JQw8giS5hWpy,Tvc9ZkaphJLXiHwsF","xAjgzmeHmZNtMvLHz,PEzbXmh7fLR5x8xYL,R6Qo2JQw8giS5hWpy",se8rimxodKaAxBDn6,pB6N9LuAiAJAB4dKm,tDZyL4yPBDaaRLgJh,mvuvXfAzAmeyZ376N,2024-04-19T15:32:05Z
aeSvJJCTC8b5HS2ty,2,6,2024-04-19T15:47:18Z,,"FBYSBwEB6RQx8uEXr,cCya54rn5D6Pf3pCK,LyzWSyWP5SjiGs6YC,NPGeubEkpdrabABpE,rCk7sxmR2iaQZ7GrT,swWBLfcWnWerJTCMX,rmaFf4JZiPHpRoASB,WoLYJiWxrg528Pqhw,w4idBib2TpKnLim8i,bRzfzqgzobbQk2Rbo,gKWTad42KjZCBtdxZ","NPGeubEkpdrabABpE,rCk7sxmR2iaQZ7GrT,w4idBib2TpKnLim8i",,bTwT8vTEXL8dyLLdf,tDZyL4yPBDaaRLgJh,mvuvXfAzAmeyZ376N,2024-04-19T15:32:05Z
5y7cNQf58QZuNWcwH,0,1,,,"JSA8S7e75uYbYfTjv,oYBRKz3SxsAvLbtSh",JSA8S7e75uYbYfTjv,5y7cNQf58QZuNWcwH,FALzYuDWpbg5NeiYx,eK4Xvxda7AuECmj2q,fTHQA2MxkSNk8jKkZ,2024-04-19T16:45:10Z
