task,Type 1 (Planning)_cat,Type 2 (Generate)_cat,Type 3 (Intellective)_cat,Type 4 (Decision-Making)_cat,Type 5 (Cognitive Conflict)_cat,Type 6 (Mixed-Motive)_cat,Type 7 (Battle)_cat,Type 8 (Performance)_cat
Categorization problem,0,0,1,0,0,0,0,0
Mastermind,0,0,1,0,0,0,0,0
Logic Problem,0,0,1,0,0,0,0,0
Sudoku,0,0,1,0,0,0,0,0
"Rank cities by population, rank words by familiarity",0,0,1,0,0,0,0,0
Shopping plan,1,0,0,0,0,0,0,0
Carter Racing (Experimenterless Version),0,0,1,0,0,0,0,0
Iterative lemonade stand task,0,0,1,0,0,0,0,0
Reading the mind in the eyes,0,0,1,0,0,0,0,0
Writing story,0,0,0,1,0,0,0,0
Moral Reasoning (Disciplinary Action Case),0,0,0,1,0,0,0,0
Word construction from a subset of letters,0,1,0,0,0,0,0,0
Carter Racing,0,0,1,0,0,0,0,0
Guessing the correlation,0,0,1,0,0,0,0,0
"Wolf, goat and cabbage transfer",0,0,1,0,0,0,0,0
Room assignment task,0,0,1,0,0,0,0,0
Arithmetic problem 1,0,0,1,0,0,0,0,0
Space Fortress,0,0,1,0,0,0,0,0
Visual Oddball Target,0,0,1,0,0,0,0,0
The N light bulbs game,0,0,1,0,0,0,0,0
Word completion given starting letter,0,0,1,0,0,0,0,0
Railroad Route Construction game,0,0,1,0,0,0,0,0
Allocating resources to programs,0,0,0,0,1,0,0,0
Game of Clue - Terrorist Attack,0,0,1,0,0,0,0,0
Word completion given part of word,0,0,1,0,0,0,0,0
NASA Moon survival,0,0,1,0,0,0,0,0
Image rating,0,0,1,0,0,0,0,0
Estimating Factual Quantities,0,0,1,0,0,0,0,0
Run a mini business,0,0,1,0,0,0,0,0
Recall videos,0,0,1,0,0,0,0,0
Search for Oil Task,0,0,1,0,0,0,0,0
To evacuate or not to evacuate,0,0,1,0,0,0,0,0
Estimating geological metrics,0,0,1,0,0,0,0,0
Euclidean traveling salesperson,0,0,1,0,0,0,0,0
Reproducing arts,0,0,1,0,0,0,0,0
Estimating social quantity,0,0,1,0,0,0,0,0
Hidden figures in a picture (Searching Task),0,0,1,0,0,0,0,0
Estimating pages of a book,0,0,1,0,0,0,0,0
Abstract grid task,0,0,1,0,0,0,0,0
