,iv,dv,model,y_pred,y_actual,rmse,r2
0,Task Space,strong,E-Net,0.8634036198589321,0.5365910665295414,0.27946634718904967,0.4304819932313342
1,Task Space,strong,E-Net,0.8726467649298006,0.4872172719643929,0.27946634718904967,0.4304819932313342
2,Task Space,strong,E-Net,0.8426681794761919,0.8566664522352182,0.27946634718904967,0.4304819932313342
3,Task Space,strong,E-Net,0.8119568395964584,0.4172345912467882,0.27946634718904967,0.4304819932313342
4,Task Space,strong,E-Net,0.875666340690401,0.8357199102872184,0.27946634718904967,0.4304819932313342
5,Task Space,strong,E-Net,0.8729680607646408,0.4434470307069863,0.27946634718904967,0.4304819932313342
6,Task Space,strong,E-Net,1.049168900737828,1.1429716461276425,0.27946634718904967,0.4304819932313342
7,Task Space,strong,E-Net,1.1880033107765364,1.606874943928007,0.27946634718904967,0.4304819932313342
8,Task Space,strong,E-Net,1.0470448413793716,0.9701224484762156,0.27946634718904967,0.4304819932313342
9,Task Space,strong,E-Net,1.1459247664674779,1.6590797244094488,0.27946634718904967,0.4304819932313342
10,Task Space,strong,E-Net,1.0778212344650924,1.0652368185880248,0.27946634718904967,0.4304819932313342
11,Task Space,strong,E-Net,1.204714219507172,1.5343744903311691,0.27946634718904967,0.4304819932313342
12,Task Space,strong,E-Net,1.0387793648066073,1.3245337439808365,0.27946634718904967,0.4304819932313342
13,Task Space,strong,E-Net,1.0695117061986599,1.211537884674832,0.27946634718904967,0.4304819932313342
14,Task Space,strong,E-Net,1.0074542608781505,1.5000806081575453,0.27946634718904967,0.4304819932313342
15,Task Space,strong,E-Net,0.9982321173196008,1.4601958277536344,0.27946634718904967,0.4304819932313342
16,Task Space,strong,E-Net,1.0335065508174515,1.4167518704253697,0.27946634718904967,0.4304819932313342
17,Task Space,strong,E-Net,1.0522974672128753,1.510027745031219,0.27946634718904967,0.4304819932313342
18,Task Space,strong,E-Net,1.049939484921692,0.9560722279305756,0.27946634718904967,0.4304819932313342
19,Task Space,strong,E-Net,1.0878157821963441,0.8561241692058278,0.27946634718904967,0.4304819932313342
20,Task Space,strong,E-Net,1.024259652040734,0.9537737866153518,0.27946634718904967,0.4304819932313342
21,Task Space,strong,E-Net,1.022181464364784,0.8207540491389096,0.27946634718904967,0.4304819932313342
22,Task Space,strong,E-Net,1.047027207214655,0.8781939714970359,0.27946634718904967,0.4304819932313342
23,Task Space,strong,E-Net,1.072962079492678,0.8977409166498438,0.27946634718904967,0.4304819932313342
24,Task Space,strong,E-Net,0.8649332251829149,0.6849533854055917,0.27946634718904967,0.4304819932313342
25,Task Space,strong,E-Net,0.7926977978788581,0.6482446646611689,0.27946634718904967,0.4304819932313342
26,Task Space,strong,E-Net,0.8271787183521019,0.905369690557488,0.27946634718904967,0.4304819932313342
27,Task Space,strong,E-Net,0.7149888060974429,0.8405494224264648,0.27946634718904967,0.4304819932313342
28,Task Space,strong,E-Net,0.8563444903491904,0.7541076285117584,0.27946634718904967,0.4304819932313342
29,Task Space,strong,E-Net,0.7721676380485047,0.645204118070959,0.27946634718904967,0.4304819932313342
0,Task Space,weak,E-Net,1.1092207164223535,0.9239319269738204,0.5824080353036074,0.40292776152299536
1,Task Space,weak,E-Net,1.1346220162510479,0.9283928350172764,0.5824080353036074,0.40292776152299536
2,Task Space,weak,E-Net,1.0873186384061482,1.8919934428690484,0.5824080353036074,0.40292776152299536
3,Task Space,weak,E-Net,1.0888643824709505,1.2952032263535034,0.5824080353036074,0.40292776152299536
4,Task Space,weak,E-Net,1.1232745708326184,1.8387268659937248,0.5824080353036074,0.40292776152299536
5,Task Space,weak,E-Net,1.1580135171659687,1.3578423485774451,0.5824080353036074,0.40292776152299536
6,Task Space,weak,E-Net,1.6851205577499695,1.719626168224299,0.5824080353036074,0.40292776152299536
7,Task Space,weak,E-Net,2.145935539762136,2.8528037383177565,0.5824080353036074,0.40292776152299536
8,Task Space,weak,E-Net,1.6658719353563545,1.399097356544165,0.5824080353036074,0.40292776152299536
9,Task Space,weak,E-Net,2.102831361604629,2.767857142857143,0.5824080353036074,0.40292776152299536
10,Task Space,weak,E-Net,1.707167738297894,1.6931818181818183,0.5824080353036074,0.40292776152299536
11,Task Space,weak,E-Net,2.1773203668147167,2.9464285714285716,0.5824080353036074,0.40292776152299536
12,Task Space,weak,E-Net,1.6127699076231075,2.3146186440677976,0.5824080353036074,0.40292776152299536
13,Task Space,weak,E-Net,1.9266967359568288,2.785373789346248,0.5824080353036074,0.40292776152299536
14,Task Space,weak,E-Net,1.5979833429278563,2.5536649214659684,0.5824080353036074,0.40292776152299536
15,Task Space,weak,E-Net,1.8880546154976856,3.0035059835452502,0.5824080353036074,0.40292776152299536
16,Task Space,weak,E-Net,1.638048123810231,2.4893917963224896,0.5824080353036074,0.40292776152299536
17,Task Space,weak,E-Net,1.9613125986486082,3.1739745403111743,0.5824080353036074,0.40292776152299536
18,Task Space,weak,E-Net,1.6855464440660197,1.367231638418079,0.5824080353036074,0.40292776152299536
19,Task Space,weak,E-Net,2.0439186234098248,1.4049636803874093,0.5824080353036074,0.40292776152299536
20,Task Space,weak,E-Net,1.672295641901502,1.5360881542699727,0.5824080353036074,0.40292776152299536
21,Task Space,weak,E-Net,2.0068122654814147,1.6227272727272728,0.5824080353036074,0.40292776152299536
22,Task Space,weak,E-Net,1.7126783700162145,1.3457019171304885,0.5824080353036074,0.40292776152299536
23,Task Space,weak,E-Net,2.0803881958646757,1.6190476190476188,0.5824080353036074,0.40292776152299536
