name,score_pct,paid,payment_amount,pre-test,tested
A2CEGS0NVDBCPT,NA,1,0,0,1
A1QUQ0TV9KVD4C,NA,1,0,0,1
A11F3MA5FWH6SJ,NA,1,0,0,1
A2EH7IQCDH2Q5D,NA,1,0,0,1
A1YSYI926BBOHW,NA,1,0,0,1
A1TPGXT718D68E,NA,1,0,0,1
A9HQ3E0F2AGVO,NA,1,0,0,1
A3V2XCDF45VN9X,NA,1,0,0,1
A21UA6O7ZFAIQJ,NA,1,0,0,1
A28RL79ONUXTET,NA,1,0,0,1
A3VL1CBZ3BGQK7,NA,1,0,0,1
A3ROADR7T6811,NA,1,0,0,1
A1FVXS8IM5QYO8,NA,1,0,0,1
A2EELTS09HUTSF,NA,1,0,0,1
A5NE8TWS8ZV7B,NA,1,0,0,1
A2QX3YJXAAHHVV,NA,1,0,0,1
A2N9U74YIPDQ9F,NA,1,0,0,1
A2MOKIEQZ0OF2M,NA,1,0,0,1
ADJ9I7ZBFYFH7,NA,1,0,0,1
A348NEQKS6VNIB,NA,1,0,0,1
A2EK1HDV4I4GSK,NA,1,0,0,1
AA4O2W236E3FW,NA,1,0,0,1
A3KF6O09H04SP7,NA,1,0,0,1
A1P6OXEJ86HQRM,NA,1,0,0,1
A1O57XVTTB1PNZ,NA,1,0,0,1
A1MJVTR0PCKBWW,NA,1,0,0,1
AV22FQTJNBUZT,NA,1,0,0,1
AKQAI78JTXXC9,NA,1,0,0,1
A2RBF3IIJP15IH,NA,1,0,0,1
ACKG8OU1KHKO2,NA,1,0,0,1
A2VRDE2FHCBMF8,NA,1,0,0,1
AONSG5WOC3OX0,NA,1,0,0,1
A3P9TM5PRYBH90,NA,1,0,0,1
A3RHJEMZ4EGY2U,NA,1,0,0,1
A2615YW1YERQBO,NA,1,0,0,1
A3UJSDFJ9LBQ6Z,NA,1,0,0,1
AW5O1RK3W60FC,NA,1,0,0,1
A209V2VHLLQ59W,NA,1,0,0,1
A37EV8RZ82WT8E,NA,1,0,0,1
A342YLIMT6THWO,NA,1,0,0,1
A26UIS59SY4NM6,NA,1,0,0,1
A2VFEDAK5C1E1O,NA,1,0,0,1
A34YDGVZKRJ0LZ,NA,1,0,0,1
AI9QOT5C5DN1P,NA,1,0,0,1
A1VMPZVVVZUCS4,NA,1,0,0,1
A2JP9IKRHNLRPI,NA,1,0,0,1
A38DHLB88V8DL8,NA,1,0,0,1
AKSJ3C5O3V9RB,NA,1,0,0,1
A36470UBRH28GO,NA,1,0,0,1
A3NXT3OVGL7QNR,NA,1,0,0,1
ABO9F0JD9NN54,NA,1,0,0,1
A2T675UCHNTSSW,NA,1,0,0,1
A2CK0OXMPOR9LE,NA,1,0,0,1
A2NA6X1SON3KFH,NA,1,0,0,1
A1YZ0ETOCJO1B2,NA,1,0,0,1
ARYK6B9Q4O2TD,NA,1,0,0,1
ARYK6B9Q4O2TD,NA,1,0,0,1
A1FVXS8IM5QYO8,NA,1,0,0,1
AH7Z2M3KSQ4DW,NA,1,0,0,1
AKQAI78JTXXC9,0.9375,1,0,1,1
A1YSYI926BBOHW,0.8125,1,0,1,1
AW5O1RK3W60FC,0.8125,1,0,1,1
A26UIS59SY4NM6,0.875,1,0,1,1
A1I72NHC21347A,0.75,1,0,1,1
AUCHGHY1IKZZK,0.6875,1,0,1,1
A3RHJEMZ4EGY2U,0.6875,1,0,1,1
A3FGT6EU39C6S4,0.875,1,0,1,1
A5NE8TWS8ZV7B,0.8125,1,0,1,1
A2VRDE2FHCBMF8,0.9375,1,0,1,1
A5P12YJP805RG,0.875,1,0,1,1
AXPZAP62ZYWP8,0.8125,1,0,1,1
A2ZL5GAZK6S0H1,0.8125,1,0,1,1
A48WNR6C4CI3J,0.75,1,0,1,1
ARYL3C6N9SVV1,0.8125,1,0,1,1
A1PBFDQR599N3K,0.5625,1,0,1,1
A2Z6NL0CTXY0ZB,0.6875,1,0,1,1
AA5ZDXAA2DLY1,1,1,0,1,1
A1PZIN8H1VI6SY,0.875,1,0,1,1
A1FVXS8IM5QYO8,0.9375,1,0,1,1
A1XVEKS9O73ERE,0.625,1,0,1,1
A3T9WZOUQGE2UW,0.875,1,0,1,1
AURYD2FH3FUOQ,0.9375,1,0,1,1
AKSJ3C5O3V9RB,0.9375,1,0,1,1
A3I9XLIHPPWPN1,0.75,1,0,1,1
A3UJSDFJ9LBQ6Z,0.75,1,0,1,1
A230VUDYOCRZ4N,0.8125,1,0,1,1
AETIZKQNUSBLB,0.9375,1,0,1,1
A2IQ0QCTQ3KWLT,0.6875,1,0,1,1
A1SHLWKA0UH1IS,0.875,1,0,1,1
A2FGKKWP33DFWS,0.8125,1,0,1,1
AIHHRINW9IN1I,0.875,1,0,1,1
A3CGQOJC28OVGN,0.8125,1,0,1,1
A8C3WNWRBWUXO,0.875,1,0,1,1
A2615YW1YERQBO,0.75,1,0,1,1
A348NEQKS6VNIB,0.3125,1,0,1,1
ARI1EMAHUA9PO,0.8125,1,0,1,1
A2FOUSWQDYHIE0,0.8125,1,0,1,1
A18T7E73TNGOKP,0.8125,1,0,1,1
A6JKKANO7F4KD,0.9375,1,0,1,1
A3QSFE6GKO157S,0.875,1,0,1,1
A3NXT3OVGL7QNR,0.75,1,0,1,1
A2868HFLIU4V0C,0.8125,1,0,1,1
A358YR7MWC6LRH,0.8125,1,0,1,1
AONSG5WOC3OX0,0.75,1,0,1,1
A149ROBL26JWPJ,1,1,0,1,1
A3EUGO4VR2N4G1,0.9375,1,0,1,1
A272X64FOZFYLB,0.875,1,0,1,1
A2ONILC0LZKG6Y,0.9375,1,0,1,1
AA4O2W236E3FW,0.625,1,0,1,1
A37EV8RZ82WT8E,0.875,1,0,1,1
A19CB2C4GY4C60,0.9375,1,0,1,1
A3N0QZ9ZKUCTCQ,0.875,1,0,1,1
A1SISJL5ST2PWH,0.9375,1,0,1,1
AKSJ3C5O3V9RB,0.9375,1,0,1,1
A2CEGS0NVDBCPT,0.6875,1,0,1,1
A28AXX4NCWPH1F,0.625,1,0,1,1
AWAW665TQQP2F,0.8125,1,0,1,1
A2TLN8489YGY81,0.9375,1,0,1,1
A2OVX9UW5WANQE,0.8125,1,0,1,1
AVD6HMIO1HLFI,1,0,5,1,1
A3HHDPKL3O3O7Y,1,0,5,1,1
A3MAOMY844XKQ4,1,0,5,1,1
