ordinals$name
goal_maximize
goal_standard
goal_optimize
goal_full
goal_partial
measure_easy
measure_immediate
outcome_certain
outcome_probablistic
solution_valid
solution_optimal
solution_count
solution_singularity
solution_path
solution_objectivity
solution_verifiability
solution_demonstrability
stakeholder_multiplicity
metric_multiplicity
objective_multiplicity
solution_multiplicity
metric_multiplicity_tradeoff
indvidual_theoretical
individual_practical
group_dependencies
participation_equal
conflict_cooperation
conflict_interests
external_adversary
external_standard
task_divisibility
task_specialization
skills_specialization
subtasks_additive
subtasks_disjunctive
performance_worst
performance_best
performance_random
performance_average
performance_cumulative
submission_together
submission_separate
subtasks_discretionary_weight
subtasks_discretionary_combination
effort_mental
effort_physical
generate_plan
generate_process
generate_ideas
generate_creativity
resolve_opinion
resolve_perspectives
resolve_information
resolve_data
options_evaluating
options_independent
options_dependent
