name,score_pct,paid
hk_d6cee24f9411ad49,1,0
hk_17834bb596fb5216,1,0
hk_7deaaba80933aa17,1,0
hk_252ef7afea13a248,0.9375,0
hk_193bf80773479e64,0.9375,0
hk_9610eae64b2e1819,0.9375,0
hk_262ce539ea6503d0,0.9375,0
hk_31df91c14ee623d9,0.9375,0
hk_c219e9eab1399896,0.9375,0
hk_8a90a277b4580c60,0.9375,0
hk_9e350943d0e77abd,0.9375,0
hk_1ed952d7fe94878f,0.9375,0
hk_8c4d0286d1d22773,0.9375,0
hk_30e958ce28e0e749,0.875,0
hk_b7e91dcb40d7f31c,0.875,0
hk_cf7997531ef08689,0.875,0
hk_7d681b23dd7d7037,0.875,0
hk_70548c582c909d48,0.875,0
hk_d6ef0018a5837517,0.875,0
hk_f0865518d41cfa0b,0.875,0
hk_0c995cfe21935c07,0.875,0
hk_2513d43352a528bc,0.875,0
hk_a0f0c2092956979b,0.875,0
hk_142b20a5c0cd8799,0.875,0
hk_128feb55142dd6bc,0.875,0
hk_81dec83b953ea114,0.8125,0
hk_20f23f98905e3fea,0.8125,0
hk_662a50bc49f13ff3,0.8125,0
hk_bf7ecfbaa0a4aa18,0.8125,0
hk_c24c209d37216e0b,0.8125,0
hk_1fd07645333e6df3,0.8125,0
hk_47649888b00f6406,0.8125,0
hk_5e6aaeb7d0977ba0,0.8125,0
hk_04d80ea3b9535345,0.8125,0
hk_e9ed9d448624df51,0.8125,0
hk_8418cea338692992,0.8125,0
hk_e5dc727d2fc06a2b,0.8125,0
hk_2ff82568820a3d10,0.8125,0
hk_0de8ffe1a510ed7c,0.8125,0
hk_60b4e70817612cc6,0.8125,0
hk_e0b7560f9d06dd58,0.8125,0
hk_fbdc70b1535b7cbd,0.8125,0
hk_9c5f09a4be2f7a91,0.8125,0
hk_1f47457b6108c540,0.8125,0
hk_4c97a592c09ae676,0.8125,0
hk_e45df9ae95dc739b,0.8125,0
hk_7345f8b90582ec63,0.75,0
hk_ffd4e9e27ed34d9a,0.75,0
hk_4310749947ad3c59,0.75,0
hk_93ed982e3129ab46,0.75,0
hk_46eea1dee597ac77,0.75,0
hk_3b8453511bc49a6a,0.75,0
hk_feface83d38d8672,0.75,0
hk_79067bbe79f61f5e,0.75,0
hk_1659f1ad861fdc00,0.75,0
hk_a2e6955f0ae55244,0.75,0
hk_293af39230fb1bef,0.75,0
hk_3c2e5c85833cd2fa,0.75,0
hk_90e7431b328eeef8,0.75,0
hk_1a77df4a857b7eac,0.75,0
hk_5e4c444a29fb1d73,0.75,0
hk_d2947e4a8dd848dc,0.75,0
hk_2d25375cd2f63423,0.75,0
hk_53ce70600a70a041,0.6875,0
hk_588a78b07c7c589f,0.6875,0
hk_ce2f6401a1e74164,0.6875,0
hk_8e6d21312c563cd9,0.6875,0
hk_ae487ac17bbcb6b4,0.6875,0
hk_ead0117ede33ba8f,0.6875,0
hk_08bf85625830b610,0.6875,0
hk_793df5b7e9052ef5,0.625,0
hk_afdb0908368b5128,0.625,0
hk_73ab2bf1893f4dd6,0.625,0
hk_d60cf01b79171afa,0.625,0
hk_188906aec81b0c15,0.625,0
hk_0c0c6fce2a05bff7,0.625,0
hk_cd964b2f0dc8b0f8,0.625,0
hk_4476190c457fd83c,0.625,0
hk_4a9622d22fac1a09,0.625,0
hk_83613ae684f5cd45,0.5,0
hk_f7568038e17e605b,0.375,0
